,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jaylen Warren,PIT/9,R28/2,1.1,9.12,8.04,8.06,RB28,4,,,Zay Flowers,BAL/14,W28/1,3.9,4.11,6.01,5.07,WR28,3,,,Bryce Young,CAR/11,Q28/1,-3.3,20.11,18.10,15.04,QB28,6
,Devin Singletary,NYG/11,R29/1,1.0,10.03,7.11,8.02,RB29,4,,,Tank Dell,HOU/14,W29/3,3.8,5.02,6.04,5.11,WR29,3,,,Bo Nix,DEN/14,Q29/1,-3.5,21.12,15.01,16.01,QB29,6
,Brian Robinson Jr.,WAS/14,R30/1,1.0,10.04,8.06,7.11,RB30,4,,,Chris Godwin,TB/11,W30/2,3.7,5.04,7.05,6.07,WR30,3,,,Russell Wilson,PIT/9,Q30/1,-4.2,24.07,16.02,17.07,QB30,6
,Zack Moss,CIN/12,R31/1,0.7,10.08,8.03,9.03,RB31,5,,,Christian Kirk,JAC/12,W31/1,3.6,5.05,6.11,6.02,WR31,3,,,,,,,,,,,
,Tyjae Spears,TEN/5,R32/2,0.7,10.10,9.04,8.12,RB32,5,,,Calvin Ridley,TEN/5,W32/1,3.5,5.08,7.06,6.09,WR32,3,,,TIGHT END,,,,,,,,
,Chase Brown,CIN/12,R33/2,0.5,11.02,9.11,9.06,RB33,5,,,Rashee Rice,KC/6,W33/1,3.5,5.09,7.01,5.06,WR33,3,,,NAME,TM/BW,POS,VAL,VRK,ADP,ECR,,
,Austin Ekeler,WAS/14,R34/2,0.5,11.03,8.09,10.03,RB34,5,,,Terry McLaurin,WAS/14,W34/1,3.0,6.03,6.08,5.09,WR34,3,,,Travis Kelce,KC/6,T1/1,5.2,2.03,3.02,3.10,TE1,1
,Gus Edwards,LAC/5,R35/1,0.1,12.02,10.05,10.04,RB35,5,,,Keenan Allen,CHI/7,W35/2,2.9,6.04,7.04,7.04,WR35,4,,,Sam LaPorta,DET/5,T2/1,4.7,3.01,3.04,3.08,TE2,1
,Ezekiel Elliott,DAL/7,R36/1,0.0,12.03,10.01,10.10,RB36,5,,,Jayden Reed,GB/10,W36/1,2.7,6.07,7.10,7.10,WR36,4,,,Taysom Hill,NO/12,T3/1,4.4,3.09,14.02,14.02,TE3,1
,Jerome Ford,CLE/10,R37/1,0.0,12.05,10.02,10.01,RB37,5,,,Diontae Johnson,CAR/11,W37/1,2.7,6.08,7.12,6.11,WR37,4,,,Mark Andrews,BAL/14,T4/1,4.3,4.01,5.02,4.11,TE4,1
,Jonathon Brooks,CAR/11,R38/1,-0.7,13.07,8.12,9.11,RB38,5,,,DeAndre Hopkins,TEN/5,W38/2,2.3,6.12,9.05,8.04,WR38,4,,,Trey McBride,ARI/11,T5/1,3.8,5.03,5.01,5.03,TE5,1
,Nick Chubb,CLE/10,R39/2,-0.7,13.10,8.08,11.03,RB39,5,,,Jaxon Smith-Njigba,SEA/10,W39/2,2.2,7.02,9.06,8.03,WR39,4,,,George Kittle,SF/9,T6/1,3.6,5.07,5.09,7.07,TE6,1
,Chuba Hubbard,CAR/11,R40/2,-1.0,14.04,12.06,11.06,RB40,5,,,Christian Watson,GB/10,W40/2,2.2,7.03,9.03,8.05,WR40,4,,,Kyle Pitts,ATL/12,T7/1,3.4,5.11,6.06,7.03,TE7,2
,Ty Chandler,MIN/6,R41/2,-1.2,14.10,13.02,12.11,RB41,5,,,Xavier Worthy,KC/6,W41/2,2.1,7.04,8.02,8.09,WR41,4,,,Dalton Kincaid,BUF/12,T8/1,3.3,5.12,5.04,6.05,TE8,2
,J.K. Dobbins,LAC/5,R42/2,-1.3,15.01,11.09,12.08,RB42,5,,,Courtland Sutton,DEN/14,W42/1,2.1,7.05,10.06,9.02,WR42,4,,,Evan Engram,JAC/12,T9/1,2.8,6.05,6.09,7.12,TE9,2
,Rico Dowdle,DAL/7,R43/2,-1.3,15.02,11.11,12.03,RB43,5,,,Jordan Addison,MIN/6,W43/2,2.0,7.06,9.07,9.12,WR43,4,,,Jake Ferguson,DAL/7,T10/1,2.8,6.06,7.09,8.08,TE10,2
,Jaleel McLaughlin,DEN/14,R44/2,-1.4,15.04,13.05,12.07,RB44,5,,,Brian Thomas Jr.,JAC/12,W44/2,1.9,7.09,10.04,9.07,WR44,4,,,David Njoku,CLE/10,T11/1,2.6,6.10,8.01,8.11,TE11,2
,Tyler Allgeier,ATL/12,R45/2,-1.4,15.05,14.03,13.01,RB45,5,,,Rome Odunze,CHI/7,W45/3,1.9,7.10,8.05,8.10,WR45,4,,,Dallas Goedert,PHI/5,T12/1,1.7,8.02,9.12,10.02,TE12,3
,Antonio Gibson,NE/14,R46/2,-1.4,15.07,13.10,13.05,RB46,5,,,Ladd McConkey,LAC/5,W46/1,1.9,7.11,9.10,9.10,WR46,4,,,Brock Bowers,LV/10,T13/1,1.7,8.03,8.10,9.09,TE13,3
,Blake Corum,LAR/6,R47/2,-1.5,15.09,10.11,11.05,RB47,5,,,Marquise Brown,KC/6,W47/3,1.8,8.01,9.02,9.08,WR47,4,,,Dalton Schultz,HOU/14,T14/1,1.2,9.10,11.01,11.02,TE14,3
,Zach Charbonnet,SEA/10,R48/2,-1.5,16.01,12.08,11.10,RB48,6,,,Jameson Williams,DET/5,W48/2,1.6,8.06,10.10,10.05,WR48,4,,,Pat Freiermuth,PIT/9,T15/1,0.6,10.11,11.08,11.01,TE15,3
,Trey Benson,ARI/11,R49/2,-1.6,16.04,10.03,12.01,RB49,6,,,Jerry Jeudy,CLE/10,W49/2,1.5,8.09,13.06,12.10,WR49,4,,,Tyler Conklin,NYJ/12,T16/1,0.5,11.04,16.07,14.03,TE16,3
,Khalil Herbert,CHI/7,R50/2,-2.1,17.11,16.01,14.08,RB50,6,,,Tyler Lockett,SEA/10,W50/3,1.5,8.10,12.03,10.09,WR50,4,,,Cole Kmet,CHI/7,T17/1,0.4,11.05,12.07,13.08,TE17,3
,Bucky Irving,TB/11,R51/2,-2.6,19.03,17.04,15.02,RB51,6,,,Jakobi Meyers,LV/10,W51/2,1.4,9.03,12.10,10.12,WR51,4,,,Hunter Henry,NE/14,T18/1,0.3,11.08,16.08,13.06,TE18,3
,MarShawn Lloyd,GB/10,R52/2,-3.1,20.01,14.08,13.12,RB52,6,,,Joshua Palmer,LAC/5,W52/2,1.4,9.04,13.03,11.04,WR52,4,,,T.J. Hockenson,MIN/6,T19/1,0.2,11.10,11.06,12.09,TE19,3
,Jordan Mason,SF/9,R53/2,-3.1,20.02,18.11,16.06,RB53,6,,,Curtis Samuel,BUF/12,W53/1,1.4,9.05,11.10,12.02,WR53,4,,,Cade Otton,TB/11,T20/1,0.0,12.07,16.12,14.09,TE20,4
,Ray Davis,BUF/12,R54/2,-3.1,20.03,17.02,13.10,RB54,6,,,Gabe Davis,JAC/12,W54/3,1.3,9.06,14.09,13.04,WR54,4,,,Luke Musgrave,GB/10,T21/1,-0.1,12.08,15.04,13.02,TE21,4
,Alexander Mattison,LV/10,R55/2,-3.3,20.09,19.11,17.11,RB55,6,,,Brandin Cooks,DAL/7,W55/2,1.2,9.07,13.08,11.12,WR55,4,,,Chigoziem Okonkwo,TEN/5,T22/1,-0.3,12.12,16.11,17.06,TE22,4
,Braelon Allen,NYJ/12,R56/2,-3.3,20.10,17.08,15.10,RB56,6,,,Mike Williams,NYJ/12,W56/2,1.2,9.09,14.04,12.04,WR56,4,,,Juwan Johnson,NO/12,T23/2,-0.4,13.01,21.06,16.03,TE23,4
,Jamaal Williams,NO/12,R57/2,-3.4,21.03,21.05,20.10,RB57,6,,,Keon Coleman,BUF/12,W57/2,1.1,9.11,10.08,10.07,WR57,4,,,Noah Fant,SEA/10,T24/1,-0.4,13.04,17.09,15.01,TE24,4
,Tyrone Tracy Jr.,NYG/11,R58/2,-3.5,21.07,17.10,18.01,RB58,6,,,Khalil Shakir,BUF/12,W58/3,1.1,10.01,11.07,11.09,WR58,4,,,Isaiah Likely,BAL/14,T25/2,-0.6,13.06,15.07,15.08,TE25,4
,Clyde Edwards-Helaire,KC/6,R59/2,-4.1,24.01,19.12,19.10,RB59,7,,,Adam Thielen,CAR/11,W59/2,1.0,10.02,14.05,13.11,WR59,4,,,Jonnu Smith,MIA/6,T26/1,-0.9,13.12,16.05,20.08,TE26,4
,Miles Sanders,CAR/11,R60/3,-4.1,24.03,23.01,21.06,RB60,7,,,Rashid Shaheed,NO/12,W60/2,0.9,10.05,13.07,11.08,WR60,4,,,Hayden Hurst,LAC/5,T27/1,-1.1,14.08,24.04,26.06,TE27,4
,Tank Bigsby,JAC/12,R61/2,-4.3,25.05,19.07,17.03,RB61,7,,,Romeo Doubs,GB/10,W61/3,0.8,10.07,11.12,11.07,WR61,4,,,Mike Gesicki,CIN/12,T28/1,-1.3,15.03,21.12,20.02,TE28,4
,Jaylen Wright,MIA/6,R62/3,-4.3,25.07,12.09,14.10,RB62,7,,,DeMario Douglas,NE/14,W62/1,0.6,10.12,18.04,14.05,WR62,5,,,Ben Sinnott,WAS/14,T29/1,-1.5,15.10,16.10,19.08,TE29,4
,Roschon Johnson,CHI/7,R63/3,-4.3,25.09,19.10,16.05,RB63,7,,,Darnell Mooney,ATL/12,W63/2,0.6,11.01,17.07,14.01,WR63,5,,,Zach Ertz,WAS/14,T30/2,-1.5,15.11,23.04,21.04,TE30,4
,,,,,,,,,,,,Ja'Lynn Polk,NE/14,W64/2,0.2,11.11,15.08,14.07,WR64,5,,,,,,,,,,,
,KICKER,,,,,,,,,,,Dontayvion Wicks,GB/10,W65/4,0.1,11.12,13.12,13.09,WR65,5,,,DEFENSE/SPECIAL TEAMS,,,,,,,,
,NAME,TM/BW,POS,VAL,VRK,ADP,ECR,,,,,Wan'Dale Robinson,NYG/11,W66/2,0.1,12.01,20.07,15.06,WR66,5,,,NAME,TM/BW,POS,VAL,VRK,ADP,ECR,,
,Younghoe Koo,ATL/12,K1/1,NA,NA,14.07,19.03,K1,#DIV/0!,,,Adonai Mitchell,IND/14,W67/2,0.0,12.06,14.01,14.04,WR67,5,,,Dallas Cowboys,DAL/7,D1/1,0.5,NA,12.05,16.08,DST1,#DIV/0!
,Brandon Aubrey,DAL/7,K2/1,NA,NA,10.07,17.02,K2,#DIV/0!,,,Josh Downs,IND/14,W68/3,-0.1,12.09,15.10,13.03,WR68,5,,,Baltimore Ravens,BAL/14,D2/1,0.5,NA,12.04,15.11,DST2,#DIV/0!
,Justin Tucker,BAL/14,K3/1,NA,NA,10.09,16.11,K3,#DIV/0!,,,Michael Wilson,ARI/11,W69/2,-0.1,12.10,17.03,14.06,WR69,5,,,New York Jets,NYJ/12,D3/1,0.3,NA,11.05,16.04,DST3,#DIV/0!
,Harrison Butker,KC/6,K4/1,NA,NA,11.02,17.08,K4,#DIV/0!,,,Demarcus Robinson,LAR/6,W70/3,-0.4,13.03,23.03,16.09,WR70,5,,,Philadelphia Eagles,PHI/5,D4/1,0.2,NA,17.05,17.12,DST4,#DIV/0!
,Ka'imi Fairbairn,HOU/14,K5/1,NA,NA,13.01,18.09,K5,#DIV/0!,,,Rashod Bateman,BAL/14,W71/2,-0.6,13.05,21.08,14.11,WR71,5,,,Houston Texans,HOU/14,D5/1,0.2,NA,18.01,18.04,DST5,#DIV/0!
,Jason Myers,SEA/10,K6/1,NA,NA,17.06,22.03,K6,#DIV/0!,,,DJ Chark Jr.,LAC/5,W72/3,-0.7,13.08,24.08,21.02,WR72,5,,,Kansas City Chiefs,KC/6,D6/1,0.1,NA,15.06,17.01,DST6,#DIV/0!
,Greg Zuerlein,NYJ/12,K7/1,NA,NA,21.04,24.03,K7,#DIV/0!,,,Xavier Legette,CAR/11,W73/3,-0.8,13.11,14.06,15.09,WR73,5,,,Pittsburgh Steelers,PIT/9,D7/1,0.1,NA,15.03,16.12,DST7,#DIV/0!
,Jake Elliott,PHI/5,K8/1,NA,NA,12.12,18.06,K8,#DIV/0!,,,Darius Slayton,NYG/11,W74/3,-0.9,14.03,25.09,19.09,WR74,5,,,San Francisco 49ers,SF/9,D8/1,0.1,NA,11.03,16.02,DST8,#DIV/0!
,Cairo Santos,CHI/7,K9/1,NA,NA,21.07,21.03,K9,#DIV/0!,,,Jalen McMillan,TB/11,W75/3,-1.1,14.06,23.02,18.07,WR75,5,,,Cleveland Browns,CLE/10,D9/1,0.1,NA,13.09,16.07,DST9,#DIV/0!
,Matt Gay,IND/14,K10/1,NA,NA,20.05,20.06,K10,#DIV/0!,,,Marvin Mims Jr.,DEN/14,W76/2,-1.1,14.09,20.11,15.12,WR76,5,,,Buffalo Bills,BUF/12,D10/1,0.0,NA,16.06,17.05,DST10,#DIV/0!
,Cameron Dicker,LAC/5,K11/1,NA,NA,17.01,20.09,K11,#DIV/0!,,,Tyler Boyd,TEN/5,W77/3,-1.2,14.11,22.04,19.05,WR77,5,,,Miami Dolphins,MIA/6,D11/1,0.0,NA,15.11,18.05,DST11,#DIV/0!
,Brayden Narveson,GB/10,K12/1,NA,NA,0.00,34.90,K12,#DIV/0!,,,Quentin Johnston,LAC/5,W78/4,-1.3,14.12,18.03,18.02,WR78,5,,,Indianapolis Colts,IND/14,D12/1,0.0,NA,22.05,20.07,DST12,#DIV/0!
,Jake Moody,SF/9,K13/1,NA,NA,13.11,18.08,K13,#DIV/0!,,,Jalin Hyatt,NYG/11,W79/4,-1.4,15.08,25.06,19.04,WR79,5,,,Cincinnati Bengals,CIN/12,D13/1,0.0,NA,21.10,23.01,DST13,#DIV/0!
,Evan McPherson,CIN/12,K14/1,NA,NA,15.09,20.03,K14,#DIV/0!,,,Josh Reynolds,DEN/14,W80/3,-1.5,15.12,28.05,22.07,WR80,5,,,Los Angeles Chargers,LAC/5,D14/1,-0.2,NA,27.11,32.01,DST14,#DIV/0!
,Tyler Bass,BUF/12,K15/1,NA,NA,16.03,19.06,K15,#DIV/0!,,,Tim Patrick,DET/5,W81/3,-1.6,16.02,25.11,28.04,WR81,6,,,Jacksonville Jaguars,JAC/12,D15/1,-0.2,NA,24.02,23.11,DST15,#DIV/0!
,Jason Sanders,MIA/6,K16/1,NA,NA,14.11,17.10,K16,#DIV/0!,,,Kendrick Bourne,NE/14,W82/3,-1.6,16.03,25.12,21.05,WR82,6,,,Washington Commanders,WAS/14,D16/1,-0.2,NA,23.09,34.37,DST16,#DIV/0!
,Cam Little,JAC/12,K17/1,NA,NA,0.00,34.18,K17,#DIV/0!,,,Ricky Pearsall,SF/9,W83/3,-1.7,16.05,18.08,16.10,WR83,6,,,New York Giants,NYG/11,D17/1,-0.3,NA,19.06,31.02,DST17,#DIV/0!
