"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Aaron Loup","","RP","41.9","38","2","0","4.21","1.37","20","42","15","5","43","0","2","0","66"
"Kody Funderburk","MIN","RP","41.5","44","2","0","3.66","1.32","17","37","18","4","39","0","2","0","74"
"Jake Latz","TEX","RP","41.5","45","2","0","4.18","1.35","19","37","19","6","38","0","2","0","73"
"Ryan Fernandez","STL","RP","41.4","36","3","0","4.07","1.33","19","41","14","5","40","0","2","0","72"
"Matt Sauer","KC","SP","41.4","37","2","0","4.73","1.42","22","41","18","6","34","2","3","0","63"
"Steven Cruz","KC","SP,RP","41.4","43","1","0","4.73","1.54","22","38","25","5","40","0","2","0","59"
"Brad Boxberger","","RP","41.3","39","2","0","4.67","1.40","21","39","19","6","42","0","2","0","65"
"Anthony Molina","COL","SP","41.3","27","2","0","4.95","1.48","23","49","12","6","37","1","2","0","56"
"Davis Daniel","LAA","RP","41.1","34","2","0","4.98","1.42","23","42","16","7","23","4","3","0","59"
"Ben Brown","CHC","SP","41.0","44","3","0","4.07","1.32","19","37","17","5","27","3","2","0","83"
"Luke Little","CHC","RP","41.0","51","2","0","3.70","1.37","17","33","23","4","42","0","2","0","79"
"Ray Kerr","ATL","RP","41.0","47","2","0","4.08","1.40","19","37","21","5","39","0","2","0","74"
"Drew Rucinski","","SP","40.9","34","3","0","4.89","1.43","22","43","15","6","14","6","3","0","71"
"Prelander Berroa","CWS","RP","40.5","47","2","1","4.19","1.41","19","34","24","5","39","0","2","0","79"
"Noah Davis","COL","SP","40.4","30","1","0","5.85","1.59","26","46","19","7","16","6","3","0","47"
"Brad Hand","","RP","40.2","39","2","0","4.36","1.37","19","38","17","5","42","0","2","0","66"
"Evan Justice","COL","RP","40.0","45","2","0","4.91","1.56","22","37","26","5","41","0","3","0","64"
"Cade Smith","CLE","RP","39.9","45","2","0","4.12","1.35","18","35","19","5","39","0","2","0","72"
"Jairo Iriarte","SD","SP","39.9","40","2","0","4.47","1.37","20","36","18","6","26","3","2","0","69"
"Dylan Lee","ATL","RP","39.7","41","3","0","3.80","1.21","17","37","11","6","40","0","2","0","78"
"Luis Guerrero","BOS","","39.6","38","2","0","5.04","1.55","22","39","22","6","40","0","2","0","60"
"Alex Speas","CWS","RP","39.5","45","2","0","4.47","1.44","20","34","23","5","39","0","3","0","66"
"Brent Honeywell Jr.","PIT","SP,RP","39.3","32","2","0","4.84","1.43","21","41","15","6","35","0","2","0","56"
"Collin McHugh","","RP","39.1","35","2","0","4.45","1.35","19","40","13","5","33","0","1","0","65"
"Josh Staumont","MIN","RP","38.9","45","2","0","4.31","1.38","19","32","21","5","39","0","2","0","70"
"Richard Bleier","WSH","RP","38.5","24","1","0","4.46","1.36","19","44","9","5","38","0","2","0","43"
"Will Warren","NYY","SP","38.2","33","2","0","4.39","1.37","19","37","15","5","17","5","2","0","66"
"Bryan Hudson","MIL","RP","38.0","41","2","0","3.94","1.34","17","34","17","4","35","0","2","0","68"
"Eduard Bazardo","SEA","RP","37.8","36","2","0","4.02","1.24","17","35","12","5","34","0","2","0","63"
"Bruce Zimmermann","BAL","RP","37.8","32","2","0","4.38","1.33","18","40","10","5","21","3","2","0","63"
"Mychal Givens","MIA","RP","37.8","37","2","0","4.66","1.42","20","36","18","6","41","0","3","0","57"
"Josh Taylor","KC","RP","37.6","40","2","0","4.38","1.38","18","36","15","5","38","0","2","0","66"
"Jimmy Herget","LAA","RP","37.6","35","2","0","4.49","1.33","19","36","14","6","36","0","2","0","58"
"Carl Edwards Jr.","CHC","RP","37.4","33","2","1","4.30","1.39","18","36","16","5","38","0","2","0","64"
"Spencer Howard","SF","SP","37.1","39","2","0","4.39","1.32","18","35","14","5","34","1","2","0","64"
"Drew Rom","STL","SP","37.1","34","2","0","4.18","1.39","17","37","14","4","30","2","2","0","64"
"Declan Cronin","MIA","RP","37.1","25","2","0","4.86","1.51","20","41","15","4","36","0","2","0","48"
"Hogan Harris","OAK","SP,RP","37.0","35","1","0","4.48","1.41","18","35","17","5","29","2","2","0","56"
"Brenan Hanifee","DET","SP","37.0","24","2","0","4.65","1.50","19","39","17","4","36","0","2","1","46"
"Nick Ramirez","NYY","RP","36.9","30","2","0","4.22","1.34","17","38","12","5","32","0","1","0","60"
"Michael Fulmer","BOS","RP","36.6","38","2","0","4.02","1.30","16","33","15","4","33","0","2","0","65"
"Dylan Coleman","HOU","RP","36.5","43","2","0","4.25","1.41","17","30","21","4","37","0","2","0","67"
"Mick Abel","PHI","SP","36.4","34","2","0","5.06","1.49","20","35","19","6","18","4","2","0","64"
"Cody Poteet","NYY","RP","36.4","35","2","0","4.47","1.33","18","34","14","6","33","1","2","0","64"
"Cody Morris","NYY","RP","36.1","40","2","0","4.21","1.36","17","33","16","5","34","0","1","0","68"
"Connor Phillips","CIN","SP","35.7","40","2","0","4.75","1.46","19","32","20","5","20","4","2","0","70"
"Janson Junk","MIL","P","35.7","26","2","0","4.89","1.40","19","39","11","6","22","3","2","0","54"
"Simeon Woods Richardson","MIN","RP","35.6","30","2","0","4.59","1.41","18","35","15","4","15","5","2","0","62"
"Joey Cantillo","CLE","SP","35.5","34","2","0","4.30","1.36","17","33","16","5","7","7","2","0","70"
"Amos Willingham","WSH","RP","35.4","27","1","0","5.07","1.43","20","38","13","6","34","0","2","0","41"
"Jaime Barria","CLE","SP,RP","35.3","27","1","0","4.89","1.39","19","38","11","6","24","1","2","0","43"
"Dallas Keuchel","","SP","35.2","24","2","0","4.94","1.56","19","40","15","4","7","7","2","0","58"
"Cody Stashak","SF","RP","35.0","32","1","0","4.74","1.39","18","35","14","5","35","0","1","0","51"
"Keegan Thompson","CHC","RP","34.8","33","2","0","4.48","1.39","17","33","16","5","30","0","2","0","57"
"Jose Butto","NYM","SP","34.4","30","2","0","4.64","1.38","18","34","13","5","21","3","2","0","61"
"Yonny Chirinos","MIA","SP,RP","34.4","23","2","0","4.89","1.41","19","38","11","5","21","3","2","0","49"
"Danny Duffy","TEX","SP","34.2","34","2","0","4.68","1.42","18","32","17","6","30","1","2","0","56"
"Matt Barnes","WSH","RP","34.1","34","2","0","4.68","1.41","18","32","16","4","35","0","2","0","56"
"Daulton Jefferies","SF","SP","34.1","27","2","0","4.41","1.29","17","36","8","5","26","2","2","0","56"
"Zack Kelly","BOS","RP","34.1","33","2","0","4.65","1.46","18","33","17","4","33","0","2","0","55"
"Osvaldo Bido","OAK","SP,RP","34.1","30","1","0","4.61","1.40","17","33","15","4","24","3","2","0","50"
"Peter Strzelecki","ARI","RP","34.0","34","2","0","4.28","1.33","16","32","13","4","34","0","2","0","58"
"Victor Vodnik","COL","RP","34.0","33","2","0","4.59","1.50","17","34","17","4","32","0","2","0","56"
"Nick Nelson","PHI","RP","34.0","29","2","0","4.73","1.47","18","34","16","4","22","3","2","0","55"
"Cole Sands","MIN","RP","33.9","34","2","0","4.26","1.33","16","32","13","4","31","0","2","0","58"
"Kolby Allard","PHI","SP","33.9","31","2","0","4.80","1.35","18","34","12","6","21","3","2","0","58"
"Jeremiah Estrada","SD","RP","33.4","40","1","0","4.30","1.40","16","28","19","5","33","0","1","0","58"
"Grant Hartwig","NYM","RP","33.4","33","2","0","4.30","1.40","16","31","16","4","32","0","2","0","56"
"Ty Blach","COL","SP,RP","33.1","21","1","0","5.44","1.54","20","41","10","6","22","2","2","0","38"
"Josh Winder","MIN","RP","33.0","28","2","0","4.56","1.36","17","33","12","5","29","0","2","0","51"
"Dauri Moreta","PIT","RP","32.9","37","2","0","3.82","1.20","14","27","12","4","33","0","1","0","66"
"Braxton Ashcraft","PIT","SP","32.9","28","1","0","4.38","1.35","16","33","11","4","30","1","1","0","51"
"Nick Vespi","BAL","RP","32.8","30","2","0","4.11","1.32","15","32","11","4","30","0","1","0","58"
"Scott Effross","NYY","RP","32.5","30","2","0","4.02","1.26","15","31","9","4","32","0","1","0","58"
"Hyun Jin Ryu","","SP","32.4","24","3","0","4.21","1.35","15","36","8","5","13","5","3","0","61"
"Julio Teheran","BAL","SP","32.4","24","2","0","4.78","1.34","17","34","9","6","13","4","2","0","55"
"Thaddeus Ward","WSH","RP","32.4","29","1","0","4.83","1.47","17","31","17","4","31","0","1","0","46"
"Naoyuki Uwasawa","TB","","32.3","25","1","0","4.64","1.38","17","33","12","5","21","3","1","1","49"
"Jackson Stephens","ATL","RP","32.2","29","2","0","4.36","1.37","16","32","12","4","29","0","1","0","55"
"Brandon Walter","BOS","RP","31.9","25","2","0","4.66","1.41","17","35","10","4","10","5","2","0","55"
"Mason Englert","DET","RP","31.9","27","1","0","4.68","1.35","17","33","11","5","28","0","2","0","41"
"Manuel Rodriguez","TB","RP","31.8","33","2","0","4.02","1.36","14","29","14","4","32","0","1","0","60"
"Sam Bachman","LAA","RP","31.8","27","2","0","4.75","1.54","17","31","18","4","28","0","2","0","47"
"Parker Mushinski","HOU","RP","31.7","31","2","0","3.95","1.33","14","30","12","4","31","0","1","0","58"
"Ty Madden","DET","SP","31.7","28","1","0","4.52","1.36","16","31","12","5","17","4","2","0","47"
"Luis Gil","NYY","SP","31.5","37","2","0","4.19","1.34","15","26","16","4","16","4","1","0","66"
"Hunter Stratton","PIT","RP","31.5","32","2","0","4.43","1.43","16","28","17","4","30","0","2","0","53"
"Justin Martinez","ARI","RP","31.1","37","1","0","4.20","1.49","15","26","20","3","31","0","1","0","54"
"Anthony Veneziano","KC","RP","31.1","26","1","0","4.86","1.47","17","32","13","5","22","2","2","0","43"
"Calvin Faucher","MIA","SP,RP","31.0","30","1","0","4.64","1.48","16","31","15","4","28","0","2","0","44"
"Kyle Nicolas","PIT","RP","30.9","32","1","0","4.56","1.41","16","28","15","4","29","0","1","0","48"
"Colin Selby","PIT","SP,RP","30.9","31","1","0","4.27","1.42","15","28","16","3","30","0","1","0","48"
"Collin Snider","SEA","RP","30.8","23","2","0","4.80","1.51","16","32","15","4","30","0","2","0","44"
"Mauricio Llovera","SEA","RP","30.6","30","1","0","4.20","1.31","14","28","12","4","29","0","1","0","49"
"Sam Coonrod","","RP","30.6","28","1","0","4.94","1.52","17","30","16","4","34","0","1","0","43"
"Corey Knebel","CWS","RP","30.5","30","1","4","4.60","1.41","16","29","14","5","31","0","1","0","70"
"Bryan Shaw","CWS","RP","30.3","27","2","0","4.70","1.45","16","30","14","4","30","0","1","0","51"
"Corbin Martin","ARI","SP,RP","30.3","28","2","0","4.93","1.52","17","31","15","5","24","1","2","0","47"
"Stephen Kolek","SD","SP","30.3","26","1","0","4.49","1.43","15","30","13","3","30","0","2","0","40"
"Carson Spiers","CIN","SP","30.3","26","1","0","5.20","1.47","18","32","13","5","24","1","2","0","37"
"Jarlin Garcia","","RP","30.2","27","1","0","4.21","1.26","14","29","9","5","29","0","2","0","43"
"Guillermo Zuniga","LAA","RP","30.1","32","1","0","4.70","1.43","16","28","15","5","29","0","2","0","45"
"Tony Santillan","CIN","RP","30.1","30","1","0","4.92","1.53","16","29","17","4","28","0","2","0","42"
"Nick Burdi","NYY","RP","30.0","38","1","0","4.64","1.41","15","26","16","5","30","0","1","0","54"
"Brendan White","DET","RP","30.0","28","1","0","4.05","1.28","13","29","10","3","29","0","2","0","45"
"Alek Jacob","SD","RP","29.9","29","2","0","4.16","1.28","14","28","10","4","29","0","1","0","55"
"Darius Vines","ATL","SP","29.9","27","2","0","4.36","1.32","15","30","10","4","25","1","1","0","52"
"Casey Legumina","CIN","RP","29.9","27","1","0","4.95","1.46","16","31","13","5","28","0","1","0","43"
"Andre Jackson","","SP,RP","29.9","29","1","0","4.66","1.43","15","28","15","4","14","2","2","0","42"
"Tucker Davidson","BAL","SP,RP","29.6","26","1","0","4.35","1.38","14","29","12","4","28","0","2","0","41"
"Trey Wingenter","DET","RP","29.1","32","1","0","4.49","1.34","15","26","13","4","29","0","1","0","48"
"Kelvin Caceres","LAA","RP","29.1","31","1","0","4.82","1.59","16","26","20","3","32","0","2","0","42"
"Thyago Vieira","MIL","RP","29.0","32","2","0","4.18","1.31","13","26","12","4","26","0","2","0","55"
"Ryan Loutos","STL","RP","29.0","24","1","0","4.40","1.43","14","29","12","4","29","0","1","0","41"
"Vince Velasquez","","SP,RP","28.5","27","2","0","4.78","1.37","15","28","11","5","9","4","2","0","51"
"Gus Varland","LAD","RP","28.5","27","2","0","4.76","1.44","15","28","13","4","26","0","1","0","50"
"J.B. Bukauskas","MIL","RP","28.4","27","2","0","4.15","1.36","13","27","11","3","27","0","1","0","52"
"Mark Melancon","","RP","28.4","20","2","0","4.56","1.47","14","31","11","3","28","0","2","0","41"
"Luis F. Ortiz","PHI","RP","28.4","24","1","0","4.58","1.36","14","29","9","4","26","0","1","0","41"
"Zach McAllister","","RP","28.3","30","1","0","4.75","1.38","15","28","11","5","30","0","2","0","43"
"Sammy Peralta","CWS","RP","28.2","25","1","0","4.27","1.33","13","28","10","4","26","0","1","0","43"
"Trevor Brigden","TB","","28.2","28","1","0","4.26","1.32","13","26","11","4","28","0","2","0","43"
"Brad Keller","CWS","SP,RP","28.2","21","1","0","5.05","1.60","16","30","16","3","11","4","2","0","36"
"Codi Heuer","","RP","28.0","24","2","0","4.19","1.35","13","27","11","3","28","0","1","0","49"
"Jake Brentz","KC","RP","28.0","30","1","0","4.84","1.53","15","25","17","3","28","0","1","0","44"
"Zach Pop","TOR","RP","28.0","24","1","0","4.14","1.32","13","27","10","3","28","0","1","0","42"
"Andres Machado","","RP","28.0","25","1","0","4.78","1.37","15","28","10","4","25","0","1","0","41"
"Justin Hagenman","BOS","","28.0","25","1","0","4.55","1.37","14","29","9","4","28","0","2","0","39"
"Jaden Hill","COL","SP","28.0","23","1","0","5.71","1.68","18","31","16","4","28","0","1","0","34"
"Zach Neal","","RP","27.9","22","1","0","5.53","1.47","17","32","9","7","27","0","2","0","33"
"Brent Headrick","MIN","RP","27.7","28","1","0","4.43","1.32","14","27","10","4","20","2","2","0","45"
"Jonathan Cannon","CWS","SP","27.4","19","1","0","4.69","1.42","14","30","9","4","26","0","2","0","32"
"German Marquez","COL","SP","27.3","23","1","0","4.68","1.36","14","28","9","4","5","5","2","0","44"
"Yerry Rodriguez","TEX","RP","27.2","28","1","0","4.25","1.36","13","25","12","4","27","0","1","0","44"
"Matt Koch","COL","RP","27.2","21","1","0","5.84","1.54","18","32","10","6","27","0","2","0","30"
"Austin Cox","KC","SP,RP","27.1","21","1","0","4.52","1.41","14","28","11","4","25","0","2","0","31"
"Ken Giles","ATL","RP","27.0","30","1","0","5.11","1.60","15","27","16","5","27","0","1","0","43"
"Angel Felipe","OAK","RP","27.0","30","1","0","3.96","1.45","12","23","16","2","26","0","2","0","43"
"Jonathan Heasley","BAL","RP","27.0","22","1","0","4.82","1.36","14","27","9","5","25","0","1","0","38"
"Chasen Shreve","TEX","RP","26.9","27","1","0","4.45","1.33","13","25","11","4","26","0","1","0","43"
"Colby White","TB","RP","26.8","30","2","0","4.40","1.40","13","24","14","4","27","0","1","0","53"
"Adam Oller","CLE","SP,RP","26.8","23","1","0","4.93","1.46","15","28","11","4","20","1","2","0","38"
"Michael Rucker","PHI","RP","26.7","25","1","0","4.69","1.37","14","26","10","4","24","0","1","0","40"
"Jacob deGrom","TEX","SP","26.6","36","2","0","2.99","0.95","9","20","6","3","5","5","1","0","76"
"Tyson Miller","SEA","RP","26.6","25","1","0","4.23","1.31","12","25","10","3","24","0","1","0","42"
"Ryan Tepera","","RP","26.6","25","1","0","4.38","1.32","13","24","11","4","27","0","2","0","38"
"Yohan Ramirez","NYM","RP","26.5","28","1","0","4.33","1.41","13","23","14","3","24","0","1","0","43"
"Ty Adcock","SEA","RP","26.5","23","1","0","4.06","1.19","12","25","6","4","26","0","1","0","41"
"Justin Dunn","","SP","26.5","22","1","0","5.24","1.47","15","27","12","4","6","6","2","0","41"
"Daniel Duarte","MIN","RP","26.5","23","1","0","4.58","1.45","14","25","14","3","26","0","1","0","37"
"Tyler Duffey","KC","RP","26.4","25","1","0","4.34","1.37","13","25","11","3","22","0","1","0","41"
"Jose Urena","TEX","SP","26.4","19","1","0","4.99","1.52","15","29","11","4","16","2","2","0","34"
"Anthony Bass","","RP","26.3","26","2","0","4.08","1.29","12","25","9","4","27","0","1","0","51"
"Matt Bush","","SP,RP","26.2","27","1","0","4.32","1.30","13","24","10","4","26","0","1","0","43"
"Forrest Whitley","HOU","SP","26.1","27","1","0","4.78","1.49","14","25","14","4","25","0","2","0","38"
"Carlos Rodriguez","MIL","","25.8","24","1","0","4.75","1.41","14","24","12","4","5","5","2","0","43"
"Wil Crowe","","RP","25.8","22","1","0","4.90","1.47","14","26","12","4","26","0","2","0","33"
"Glenn Otto","SD","RP","25.6","25","1","0","4.49","1.37","13","24","11","4","22","1","1","0","40"
"Brett Martin","","RP","25.6","21","1","0","3.96","1.34","11","26","8","3","26","0","1","0","39"
"Cole Winn","TEX","SP,RP","25.6","22","1","0","5.23","1.64","15","26","16","4","17","2","2","0","35"
"Denyi Reyes","","SP,RP","25.6","20","1","0","4.86","1.36","14","27","7","4","19","1","1","0","35"
"Spenser Watkins","WSH","SP","25.5","18","1","0","5.70","1.53","16","30","9","5","12","2","2","0","27"
"Thomas Pannone","CHC","RP","25.2","20","1","0","4.44","1.39","12","27","8","4","19","1","2","0","33"
"Hurston Waldrep","ATL","SP","25.0","26","1","0","4.37","1.42","12","24","11","3","16","3","1","0","45"
"Victor Arano","","RP","25.0","26","1","0","4.10","1.30","11","23","9","3","25","0","1","0","43"
"Jeff Brigham","MIN","RP","25.0","27","1","0","4.68","1.34","13","22","11","4","24","0","1","0","41"
"Austin Adams","NYM","RP","24.8","32","1","0","4.59","1.34","13","20","13","3","28","0","1","0","46"
"Yerry De Los Santos","NYY","RP","24.7","24","1","0","3.75","1.26","10","22","9","3","23","0","1","0","41"
"Matthew Boyd","","SP,RP","24.6","24","1","0","4.42","1.32","12","24","9","4","5","5","2","0","44"
"Nick Wittgren","","RP","24.6","19","1","0","4.81","1.39","13","26","8","4","25","0","1","0","34"
"Will Klein","KC","RP","24.5","24","1","0","4.79","1.56","13","24","15","3","24","0","2","0","34"
"James Naile","","RP","24.5","17","1","0","4.71","1.51","13","28","9","3","22","0","1","0","31"
"Jake Eder","CWS","SP","24.4","21","1","0","5.05","1.48","14","24","12","4","5","5","2","0","35"
"Jacob Misiorowski","MIL","SP","24.3","27","1","0","4.62","1.49","12","21","15","3","17","2","1","0","45"
"Andrew Bellatti","PHI","RP","24.3","27","1","0","4.59","1.37","12","23","11","4","24","0","1","0","42"
"Lane Ramsey","CWS","RP","24.3","22","1","0","4.49","1.52","12","24","13","3","23","0","1","0","36"
"Erasmo Ramirez","TB","RP","24.3","19","1","0","4.51","1.34","12","26","7","4","18","0","1","0","34"
"Cristian Mena","ARI","SP","24.2","21","1","0","4.65","1.43","13","25","10","3","11","3","1","0","39"
"Freddy Tarnok","OAK","RP","24.1","23","1","0","4.36","1.37","12","23","10","3","20","1","1","0","38"
"Shawn Dubin","HOU","SP,RP","24.0","26","1","0","4.16","1.37","11","22","11","3","22","0","1","0","41"
"R.J. Dabovich","SF","RP","24.0","25","1","0","4.46","1.41","12","22","12","3","24","0","1","0","39"
"Chad Kuhl","CWS","SP,RP","24.0","22","1","0","5.29","1.52","14","25","12","4","20","1","2","0","31"
"Cody Bolton","SEA","RP","23.9","23","1","0","4.25","1.36","11","22","10","3","23","0","1","0","38"
"Allan Winans","ATL","SP","23.9","22","1","0","3.97","1.26","11","23","7","3","21","1","1","0","38"
"Antoine Kelly","TEX","SP","23.9","24","1","0","4.71","1.49","12","23","13","3","21","1","1","0","38"
"Chayce McDermott","BAL","SP","23.8","26","1","0","4.53","1.44","12","22","13","3","15","2","1","0","44"
"Landen Roupp","SF","SP","23.7","22","1","0","4.20","1.34","11","23","9","3","12","3","1","0","45"
"Connor Overton","CIN","SP","23.7","18","1","0","4.94","1.41","13","25","8","4","10","3","1","0","36"
"Drew Carlton","SD","RP","23.6","22","1","0","3.84","1.19","10","22","6","3","23","0","1","0","39"
"Nick Hernandez","SD","RP","23.6","24","1","0","4.55","1.44","12","20","14","4","23","0","1","0","37"
"Chase Anderson","PIT","SP","23.5","18","1","0","5.06","1.48","13","26","9","4","14","2","1","0","35"
"Riley Pint","COL","RP","23.3","25","1","0","5.39","1.75","14","22","19","3","28","0","1","0","35"
"Caleb Kilian","CHC","SP","23.2","19","1","0","4.45","1.41","11","24","8","3","15","2","1","0","38"
"Jose Cruz","SF","RP","23.2","23","1","0","4.22","1.53","11","20","16","1","23","0","1","0","37"
"Dylan Dodd","ATL","SP","23.2","17","1","0","4.94","1.42","13","26","7","4","14","2","1","0","34"
"Jake Cousins","CWS","RP","23.1","26","1","0","4.04","1.32","10","20","11","3","23","0","1","0","41"
"Lyon Richardson","CIN","SP","23.1","23","1","0","4.82","1.47","12","23","11","3","16","2","1","0","40"
"Chase De Jong","","RP","23.1","19","1","0","5.59","1.47","14","24","10","5","12","1","1","0","31"
"Josh Simpson","MIA","RP","23.0","26","1","0","4.13","1.41","11","20","12","3","23","0","1","0","40"
"Max Castillo","PHI","RP","23.0","18","1","0","4.63","1.35","12","24","8","3","21","0","1","0","32"
"Vinny Nittoli","OAK","RP","22.9","21","1","0","4.42","1.34","11","22","8","3","22","0","1","0","36"
"Duane Underwood Jr.","NYY","RP","22.9","18","1","0","4.79","1.42","12","24","9","3","19","0","1","0","32"
"Peyton Battenfield","NYM","SP","22.8","17","1","0","4.81","1.41","12","24","8","4","17","1","2","0","28"
"Zack Weiss","MIN","RP","22.7","24","1","0","4.81","1.46","12","21","12","4","22","0","1","0","37"
"Hunter Strickland","LAA","RP","22.7","21","1","0","5.05","1.46","13","22","11","4","22","0","1","0","33"
"Anthony Maldonado","MIA","RP","22.6","24","2","0","4.05","1.29","10","21","8","3","22","0","1","0","47"
"Carson Coleman","TEX","RP","22.6","24","1","0","4.56","1.41","11","21","11","3","22","0","1","0","38"
"Tommy Doyle","ATL","RP","22.6","23","1","0","4.71","1.41","12","22","10","4","22","0","1","0","36"
"Levi Stoudt","SEA","SP","22.6","17","1","0","4.84","1.44","12","23","9","4","18","1","1","0","30"
"Jake Woodford","CWS","SP,RP","22.6","17","1","0","4.76","1.46","12","24","10","3","16","1","1","0","30"
"Kolton Ingram","NYM","RP","22.5","23","1","0","4.23","1.41","11","20","11","2","22","0","1","0","37"
"Alex Reyes","","SP","22.4","26","1","0","4.59","1.51","11","19","15","3","22","0","2","0","36"
"Matt Bowman","MIN","RP","22.4","18","1","0","4.55","1.47","11","23","10","2","22","0","1","0","32"
"Joe Jacques","BOS","RP","22.4","17","1","0","4.49","1.47","11","23","10","3","21","0","1","0","31"
"Oliver Ortega","HOU","RP","22.2","22","1","0","4.24","1.36","10","21","10","3","19","0","1","0","37"
"Matt Festa","SD","RP","22.1","24","1","0","4.11","1.27","10","19","9","3","22","0","1","0","39"
"John Curtiss","COL","RP","22.0","19","1","0","5.44","1.51","13","24","9","4","21","0","1","0","31"
"Lou Trivino","NYY","RP","21.9","22","1","0","4.31","1.37","10","21","9","3","22","0","1","0","37"
"Shane Greene","TEX","RP","21.9","21","1","0","4.86","1.49","12","22","11","3","19","0","1","0","33"
"Tayler Scott","HOU","RP","21.8","22","1","0","4.51","1.41","11","22","9","3","22","0","1","0","36"
"Hagen Danner","TOR","RP","21.7","23","1","0","4.12","1.26","10","19","8","3","25","0","1","0","38"
"Kaleb Ort","BAL","RP","21.7","23","1","0","4.62","1.38","11","20","10","3","21","0","1","0","36"
"Michael McGreevy","STL","SP","21.6","14","1","0","4.43","1.39","11","24","6","3","8","3","1","0","32"
"Dennis Santana","NYY","RP","21.5","21","1","0","4.64","1.43","11","20","11","3","20","0","1","0","34"
"Gerardo Reyes","OAK","RP","21.4","22","1","0","4.66","1.43","11","19","11","3","20","0","1","0","35"
"Jonathan Bowlan","KC","SP","21.4","17","1","0","4.69","1.44","11","23","7","3","16","1","2","0","32"
"Andrew Vasquez","DET","RP","21.3","21","1","0","4.24","1.41","10","19","11","2","21","0","1","0","35"
"Zach Brzykcy","WSH","RP","21.2","22","1","0","4.52","1.41","11","19","10","3","21","0","2","0","32"
"Luis Garcia","HOU","SP","21.1","22","1","0","4.05","1.24","10","19","8","3","4","4","1","0","44"
"JT Brubaker","PIT","SP","21.1","20","1","0","4.48","1.36","11","22","7","3","14","1","1","0","37"
"Matt Gage","LAD","RP","21.1","21","1","0","4.25","1.36","10","20","9","3","20","0","1","0","35"
"Shane Drohan","CWS","SP","21.1","20","2","0","4.60","1.50","11","21","10","3","20","0","3","0","34"
"Edwin Uceta","TB","RP","21.0","21","1","0","4.61","1.42","11","19","11","3","21","0","1","0","33"
"Roddery Munoz","MIA","SP","21.0","19","1","0","4.55","1.48","11","21","10","2","21","0","1","0","32"
"Austin Pruitt","TEX","SP,RP","21.0","16","1","0","4.71","1.33","11","22","6","4","18","0","1","0","29"
"Jorge Benitez","BOS","","21.0","19","1","0","5.45","1.65","13","21","13","3","21","0","1","0","29"
"Dustin May","LAD","SP","20.8","20","1","0","3.67","1.20","8","18","7","2","14","2","1","0","40"
"Taylor Hearn","","SP,RP","20.8","20","1","0","4.75","1.46","11","21","9","3","13","1","1","0","33"
"Will Dion","CLE","SP","20.6","20","3","0","3.70","1.30","8","20","7","2","12","2","3","0","49"
"Ian Anderson","ATL","SP","20.6","19","1","0","4.45","1.41","10","20","9","3","10","3","1","0","36"
"Jacob Lopez","TB","RP","20.4","21","1","0","3.77","1.25","9","18","7","2","16","1","1","0","40"
"Jay Groome","SD","SP","20.4","18","1","0","4.94","1.54","11","21","11","3","9","3","1","0","38"
"Wes Parsons","TOR","SP","20.4","20","1","0","4.41","1.38","10","20","9","3","18","1","1","0","33"
"Joe La Sorsa","WSH","RP","20.3","16","1","0","4.29","1.31","10","21","6","3","19","0","1","0","30"
"Randy Rodriguez","SF","SP,RP","20.2","21","1","0","4.63","1.51","10","18","12","2","19","0","1","0","33"
"Chase Hampton","NYY","SP","20.1","19","1","0","4.63","1.33","10","20","7","3","5","3","1","0","36"
"Chris Rodriguez","ARI","SP","20.0","20","1","0","4.07","1.46","9","18","11","2","17","0","1","0","33"
"Kris Bubic","KC","SP","19.9","18","1","0","4.27","1.36","9","19","8","2","6","2","1","0","36"
"Jackson Jobe","DET","SP","19.8","17","1","0","4.58","1.37","10","20","8","3","4","4","1","0","38"
"Jose Ruiz","PHI","RP","19.8","20","1","0","4.61","1.40","10","19","9","3","18","0","1","0","33"
"Keider Montero","DET","SP","19.8","18","1","0","4.21","1.30","9","19","7","2","19","0","1","0","32"
"Stephen Jones","COL","","19.8","17","1","0","5.07","1.52","11","21","9","3","20","0","1","0","29"
"David Festa","MIN","SP","19.7","17","1","0","4.46","1.39","10","19","8","2","4","4","1","0","38"
"Jimmy Nelson","","SP","19.7","22","1","0","5.12","1.55","11","18","12","3","19","0","1","0","33"
"Stephen Nogosek","WSH","RP","19.7","19","0","0","4.92","1.43","11","20","9","4","10","0","1","0","23"
"Penn Murfee","ATL","RP","19.6","21","1","0","4.15","1.29","9","18","7","2","20","0","1","0","35"
"Brendon Little","TOR","RP","19.6","16","1","0","4.30","1.47","9","20","9","2","18","0","1","0","29"
"Matt Carasiti","COL","RP","19.6","15","1","0","5.56","1.65","12","23","10","3","17","0","1","0","25"
"Cole Sulser","NYM","RP","19.5","21","1","0","4.17","1.32","9","18","8","2","17","0","1","0","34"
"McKinley Moore","NYY","RP","19.4","22","1","0","4.55","1.52","10","17","13","2","19","0","1","0","33"
"Mason Montgomery","TB","SP","19.4","17","1","0","4.77","1.38","10","19","8","3","4","4","1","0","33"
"Andre Granillo","STL","","19.4","18","1","0","4.70","1.48","10","19","10","3","19","0","1","0","30"
