"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG","PTS"
"Triston McKenzie","CLE","SP","144.3","144","8","0","4.09","1.21","66","128","47","22","25","25","8","0","293"
"Austin Gomber","COL","SP","144.0","101","7","0","5.34","1.47","86","165","47","26","27","27","11","1","208"
"Griffin Canning","LAA","SP","143.9","151","9","0","4.24","1.27","68","135","47","23","26","26","8","0","305"
"Tyler Glasnow","LAD","SP","142.6","181","11","0","3.50","1.12","55","115","44","19","25","25","6","0","376"
"Michael Wacha","KC","SP","141.9","117","8","0","4.53","1.33","71","145","44","21","26","26","9","0","256"
"MacKenzie Gore","WSH","SP","141.8","151","8","0","4.28","1.34","67","130","59","21","27","27","9","0","291"
"Sean Manaea","NYM","SP,RP","141.2","146","8","0","4.24","1.27","67","133","46","21","27","23","9","0","284"
"Eury Perez","MIA","SP","141.1","160","8","0","3.90","1.19","61","120","47","20","27","27","8","0","311"
"Martin Perez","PIT","SP,RP","140.6","100","7","0","4.56","1.44","71","151","52","17","25","25","9","0","225"
"Gavin Williams","CLE","SP","140.5","142","8","0","4.09","1.28","64","124","56","19","26","27","8","0","287"
"Kutter Crawford","BOS","SP,RP","140.3","137","8","0","4.49","1.28","70","136","44","22","32","26","8","1","271"
"Aaron Civale","TB","SP","140.0","131","8","0","4.08","1.22","63","132","38","19","26","26","8","0","280"
"Braxton Garrett","MIA","SP","139.9","133","8","0","3.98","1.26","62","139","38","17","26","26","8","0","283"
"Clarke Schmidt","NYY","SP","139.5","128","8","0","4.37","1.31","68","137","45","20","27","27","8","0","267"
"Chris Sale","ATL","SP","139.2","165","10","0","3.80","1.17","59","121","41","19","26","26","6","0","338"
"Zack Littell","TB","SP,RP","138.8","113","8","0","4.41","1.28","68","141","36","22","34","24","7","0","256"
"Erick Fedde","CWS","SP","138.5","116","7","0","4.88","1.39","75","143","50","23","26","26","10","0","228"
"Logan Allen","CLE","SP","138.0","131","8","0","4.16","1.31","64","132","50","19","26","26","8","0","275"
"Kenta Maeda","DET","SP","137.5","140","8","0","4.23","1.23","65","128","41","20","31","26","9","0","281"
"Kyle Harrison","SF","SP","136.8","153","7","0","4.15","1.31","63","119","61","18","27","27","7","0","290"
"Tanner Houck","BOS","SP","136.5","129","8","0","4.31","1.35","65","133","50","16","31","25","8","1","270"
"Paul Blackburn","OAK","SP","136.0","110","7","0","4.55","1.40","69","143","47","18","26","26","9","0","233"
"Frankie Montas","CIN","RP","135.5","133","8","0","4.44","1.32","67","134","45","22","24","24","8","0","269"
"Jordan Lyles","KC","SP","135.2","95","6","0","5.39","1.41","81","149","42","25","28","23","10","2","192"
"Nestor Cortes Jr.","NYY","SP","135.1","136","9","0","4.05","1.19","61","122","40","21","28","24","6","0","296"
"Cristopher Sanchez","PHI","SP","134.7","118","8","0","4.15","1.29","62","131","43","17","31","23","7","0","261"
"Andrew Heaney","TEX","SP,RP","133.9","140","8","0","4.44","1.31","66","127","48","23","30","25","8","0","274"
"Wade Miley","MIL","SP","133.7","94","8","0","4.36","1.38","65","138","47","18","25","25","8","0","229"
"Ryan Pepiot","TB","SP,RP","133.5","135","8","0","4.16","1.26","62","118","50","20","28","24","7","0","276"
"Michael Kopech","CWS","SP","132.3","131","6","0","5.08","1.47","75","121","73","23","26","26","10","0","225"
"Reese Olson","DET","SP","132.0","125","7","0","4.34","1.34","64","125","52","17","25","25","9","0","248"
"Bryan Woo","SEA","SP","131.6","137","8","0","4.04","1.21","59","117","43","18","32","24","8","0","277"
"Luis Severino","NYM","SP","130.9","124","7","0","4.54","1.32","66","128","45","20","25","25","8","0","248"
"Ross Stripling","OAK","SP,RP","129.2","105","6","0","4.36","1.27","63","133","31","20","33","22","8","0","218"
"Taj Bradley","TB","SP","128.0","133","8","0","4.15","1.25","59","117","43","19","38","22","7","0","264"
"Edward Cabrera","MIA","SP","127.4","137","8","0","4.15","1.35","59","109","63","15","25","25","8","0","269"
"Colin Rea","MIL","SP","127.4","109","7","0","4.65","1.32","66","128","40","21","30","22","8","0","227"
"Alex Wood","OAK","SP,RP","127.4","105","6","0","4.44","1.35","63","128","44","16","27","23","9","0","215"
"Walker Buehler","LAD","SP","127.2","118","9","0","3.98","1.21","56","119","35","17","22","22","6","1","275"
"Andrew Abbott","CIN","SP","125.6","137","7","0","4.33","1.31","60","116","48","21","24","24","8","0","262"
"Adrian Houser","NYM","SP","125.3","92","7","0","4.49","1.41","63","130","48","15","27","23","8","0","201"
"Louie Varland","MIN","SP,RP","124.9","121","7","0","4.17","1.26","58","121","36","17","33","20","7","0","248"
"Marco Gonzales","PIT","SP","122.3","79","6","0","4.87","1.41","66","135","38","18","25","21","9","0","178"
"Jake Irvin","WSH","SP","122.2","98","5","0","4.92","1.41","67","124","48","19","24","24","8","0","193"
"Dakota Hudson","COL","SP,RP","121.8","69","6","0","5.34","1.59","72","143","50","16","26","22","9","0","155"
"Bryce Elder","ATL","SP","121.4","95","8","0","4.44","1.38","60","124","44","15","29","20","6","0","226"
"Jose Urquidy","HOU","SP,RP","121.0","99","7","0","4.62","1.28","62","121","34","21","36","18","6","0","210"
"Nick Martinez","CIN","SP,RP","120.4","114","6","1","4.43","1.39","59","121","46","18","48","16","7","0","214"
