NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Patrick Kane	DET	-148	A	2.5	2.94	*67%* - 56%	*62%* - 60%	61%	40%	20%	2,1,3,3,3,4,1,2,2,2	0%	-174	-166/+130	-157 BR	61.08949416342413%
Eeli Tolvanen	SEA	'105	H	1.5	2.06	75% - *47%*	62% - *57%*	60%	67%	80%	3,3,1,4,0,3,3,4,0,3	54%	-188	-166/+130	-166 DK	62.40601503759399%
Yanni Gourde	SEA	'105	H	1.5	2.07	56% - *64%*	50% - *71%*	60%	53%	40%	0,2,6,2,3,0,2,3,1,0	54%	-160	-145/+114	-145 DK	59.183673469387756%
Jaden Schwartz	SEA	'105	H	1.5	2.11	55% - *62%*	48% - *71%*	59%	53%	60%	1,1,6,2,2,2,1,4,2,1	66%	-198	-190/+145	-190 DK	65.51724137931035%
Shayne Gostisbehere	DET	-148	A	1.5	1.79	*39%* - 75%	*48%* - 62%	56%	67%	100%	3,1,0,3,1,2,5,2,2,2	52%	-196	-175/+135	-175 DK	63.63636363636363%
Devon Toews	COL	-238	H	1.5	1.91	*49%* - 68%	67% - *45%*	56%	67%	60%	2,3,2,2,0,0,2,3,0,4	57%	0	-160/+124	-160 DK	61.53846153846154%
David Perron	DET	-148	A	1.5	1.93	*50%* - 62%	*56%* - 55%	55%	60%	80%	0,2,4,1,0,3,1,5,4,5	69%	-182	-180/+140	-175 BR	63.63636363636363%
Matty Beniers	SEA	'105	H	1.5	1.74	59% - *50%*	55% - *54%*	54%	47%	40%	3,1,1,3,3,1,2,0,4,0	57%	0	-140/+110	-140 DK	58.333333333333336%
Clayton Keller	ARI	'124	H	2.5	2.88	61% - *47%*	57% - *48%*	53%	47%	40%	3,1,3,2,5,2,1,1,3,3	49%	-144	-140/+110	-140 DK	58.333333333333336%
Alex Debrincat	DET	-148	A	2.5	2.73	*45%* - 62%	*41%* - 64%	53%	33%	20%	2,3,0,4,4,2,5,2,1,2	54%	-178	-145/+114	-143 BR	58.8477366255144%
Jared Mccann	SEA	'105	H	2.5	2.62	48% - *56%*	61% - *43%*	52%	67%	80%	1,2,6,3,3,1,3,4,4,3	47%	-156	-160/+124	-143 BR	58.8477366255144%
Lucas Raymond	DET	-148	A	1.5	1.81	*67%* - 34%	*41%* - 61%	52%	40%	40%	1,1,4,2,1,5,3,0,1,0	53%	-210	-195/+150	-175 BR	63.63636363636363%
Wyatt Johnston	DAL	-310	A	2.5	2.53	*50%* - 50%	*52%* - 48%	50%	60%	80%	4,8,4,0,1,2,4,5,5,6	32%	-168	-166/+130	-166 DK	62.40601503759399%
Joel Eriksson Ek	MIN	'195	A	3.5	3.6	47% - *52%*	*41%* - 58%	49%	40%	20%	3,4,5,0,5,4,3,2,2,3	43%	'+126	'+124/-160	126 FD	44.24778761061947%
Logan Cooley	ARI	'124	H	1.5	1.68	52% - *45%*	44% - *52%*	48%	60%	40%	3,3,2,2,3,3,1,1,4,0	0%	0	-145/+114	-145 DK	59.183673469387756%
Mikko Rantanen	COL	-238	H	3.5	3.33	*51%* - 40%	45% - *48%*	47%	47%	40%	4,4,2,1,3,2,1,1,4,9	44%	'+118	'+135/-175	135 DK	42.5531914893617%
Joe Pavelski	DAL	-310	A	2.5	2.47	*50%* - 38%	*27%* - 65%	45%	47%	80%	3,1,2,1,1,3,2,3,3,3	35%	-108	-110/-120	100 BR	50.0%
Jordan Eberle	SEA	'105	H	2.5	2.24	56% - *35%*	48% - *41%*	45%	60%	80%	4,4,3,5,1,1,3,3,4,4	34%	'+120	'+124/-160	124 DK	44.642857142857146%
Artturi Lehkonen	COL	-238	H	2.5	2.38	*65%* - 17%	44% - *46%*	45%	40%	60%	1,1,2,0,3,1,4,2,3,3	38%	'+132	'+130/-166	140 BR	41.66666666666667%
Kirill Kaprizov	MIN	'195	A	3.5	3.52	48% - *41%*	*43%* - 46%	45%	53%	60%	4,7,3,3,4,6,4,3,5,1	50%	-106	-110/-120	100 BR	50.0%
Andre Burakovsky	SEA	'105	H	1.5	1.52	33% - *57%*	36% - *53%*	45%	47%	60%	2,1,1,1,3,0,5,2,1,2	62%	0	-160/+124	-160 DK	61.53846153846154%
Nathan Mackinnon	COL	-238	H	4.5	4.86	*44%* - 44%	42% - *45%*	44%	53%	60%	5,9,01,11,2,6,4,4,6,8	60%	-114	-120/-110	-106 BR	51.45631067961165%
Miro Heiskanen	DAL	-310	A	2.5	2.26	*41%* - 48%	*42%* - 44%	43%	53%	60%	3,4,5,0,0,3,3,2,0,3	45%	-114	-110/-120	-110 DK	52.38095238095239%
Valeri Nichushkin	COL	-238	H	3.5	3.17	*38%* - 50%	42% - *43%*	42%	60%	100%	2,2,0,1,4,4,5,6,6,5	41%	'+108	'+120/-150	120 DK	45.45454545454545%
Alex Killorn	ANA	'250	H	2.5	2.3	38% - *43%*	37% - *46%*	42%	40%	60%	3,2,0,4,0,3,4,1,3,2	25%	'+132	'+140/-180	140 DK	41.66666666666667%
Lawson Crouse	ARI	'124	H	2.5	2.27	32% - *46%*	41% - *40%*	40%	40%	20%	6,3,1,3,2,1,4,2,2,1	29%	'+134	'+140/-180	140 DK	41.66666666666667%
Daniel Sprong	DET	-148	A	2.5	2.35	*42%* - 38%	*45%* - 36%	40%	33%	0%	2,3,2,2,4,1,2,1,0,0	40%	'+106	'+135/-175	135 DK	42.5531914893617%
Roope Hintz	DAL	-310	A	2.5	2.18	*51%* - 20%	*36%* - 41%	39%	20%	20%	0,2,4,0,0,2,0,6,2,2	48%	'+102	'+100/-130	115 BR	46.51162790697674%
Oliver Bjorkstrand	SEA	'105	H	2.5	2.44	32% - *44%*	41% - *37%*	39%	13%	20%	3,0,1,1,1,7,2,2,1,2	49%	'+112	'+120/-150	120 DK	45.45454545454545%
Dylan Guenther	ARI	'124	H	2.5	2.27	50% - *35%*	43% - *33%*	38%	40%	60%	3,2,3,2,4,3,2,5,1,3	0%	'+118	'+110/-140	118 FD	45.87155963302752%
Nick Schmaltz	ARI	'124	H	2.5	2.08	48% - *32%*	42% - *34%*	38%	40%	20%	1,0,0,5,4,1,4,2,1,2	29%	'+125	'+130/-166	130 DK	43.47826086956522%
Matt Duchene	DAL	-310	A	2.5	2.11	*42%* - 29%	*31%* - 43%	37%	33%	40%	3,3,2,1,1,1,4,2,4,1	34%	'+120	'+114/-145	125 BR	44.44444444444444%
matt boldy	MIN	'195	A	3.5	2.98	25% - *46%*	*39%* - 32%	36%	40%	20%	3,5,3,7,3,4,2,3,1,2	40%	0	'+130/-166	130 DK	43.47826086956522%
Jason Robertson	DAL	-310	A	3.5	2.84	*32%* - 27%	*27%* - 32%	30%	27%	60%	2,3,3,2,2,2,4,1,4,4	45%	'+122	'+124/-160	130 BR	43.47826086956522%
Jamie Benn	DAL	-310	A	2.5	1.84	*26%* - 31%	*27%* - 29%	28%	33%	60%	0,5,5,2,1,3,5,1,5,2	34%	'+146	'+140/-180	146 FD	40.65040650406504%
Thomas Harley	DAL	-310	A	2.5	1.92	*33%* - 20%	*27%* - 29%	28%	33%	40%	4,2,1,1,2,1,0,3,2,4	24%	'+140	'+130/-166	140 FD	41.66666666666667%
