NAME	TEAM	ML	A/H	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 OVER	L5 OVER	LAST 10 GAMES	LYR OVER	FD	DK	Best	Implied
Matt Duchene	DAL	-310	A	0.5	0.53	*42%* - 46%	*34%* - 53%	44%	20%	0%	0,2,0,0,0,0,0,0,0,0	34%	0	'+160/-210	160 DK	38.46153846153847%
Clayton Keller	ARI	'124	H	0.5	0.51	57% - *31%*	43% - *39%*	41%	40%	40%	2,1,0,0,0,1,1,0,0,0	49%	0	'+110/-140	110 DK	47.61904761904761%
Valeri Nichushkin	COL	-238	H	0.5	0.5	*46%* - 29%	37% - *43%*	40%	33%	20%	3,0,0,1,1,0,0,1,0,0	41%	0	'+124/-160	124 DK	44.642857142857146%
Shayne Gostisbehere	DET	-148	A	0.5	0.51	*42%* - 36%	*48%* - 31%	39%	40%	60%	0,1,0,1,1,1,0,1,0,1	28%	0	'+154/-200	154 DK	39.37007874015748%
Jamie Benn	DAL	-310	A	0.5	0.47	*50%* - 23%	*39%* - 39%	39%	47%	60%	0,1,1,1,1,0,0,1,1,3	44%	0	'+165/-215	165 DK	37.735849056603776%
Joe Pavelski	DAL	-310	A	0.5	0.47	*50%* - 23%	*36%* - 42%	39%	33%	20%	0,0,1,0,1,0,0,1,0,0	43%	0	'+140/-180	140 DK	41.66666666666667%
Devon Toews	COL	-238	H	0.5	0.41	*46%* - 24%	36% - *39%*	38%	33%	80%	0,0,1,0,0,1,0,1,1,1	45%	0	'+154/-200	154 DK	39.37007874015748%
Brock Faber	MIN	'195	A	0.5	0.49	47% - *30%*	*53%* - 23%	38%	33%	20%	0,0,0,0,1,0,0,0,0,1	0%	0	'+154/-200	154 DK	39.37007874015748%
Jonathan Drouin	COL	-238	H	0.5	0.42	*47%* - 21%	27% - *48%*	37%	47%	80%	1,1,0,0,0,1,1,0,1,1	35%	0	'+170/-220	170 DK	37.03703703703704%
Joel Eriksson Ek	MIN	'195	A	0.5	0.44	57% - *18%*	*38%* - 35%	37%	53%	40%	0,3,1,1,1,0,0,0,1,1	41%	0	'+135/-175	135 DK	42.5531914893617%
Lucas Raymond	DET	-148	A	0.5	0.55	*58%* - 14%	*34%* - 39%	37%	33%	20%	0,1,1,0,2,0,2,0,0,0	25%	0	'+175/-230	175 DK	36.36363636363637%
Jared Mccann	SEA	'105	H	0.5	0.41	52% - *24%*	39% - *33%*	36%	53%	60%	1,0,0,3,1,0,0,1,1,2	31%	0	'+170/-220	170 DK	37.03703703703704%
matt boldy	MIN	'195	A	0.5	0.46	50% - *21%*	*39%* - 32%	36%	33%	20%	0,3,0,0,0,0,0,0,2,0	35%	0	'+124/-160	124 DK	44.642857142857146%
Nick Schmaltz	ARI	'124	H	0.5	0.37	43% - *30%*	48% - *21%*	35%	33%	60%	0,1,0,0,1,0,1,1,0,1	44%	0	'+105/-135	105 DK	48.78048780487805%
Roope Hintz	DAL	-310	A	0.5	0.44	*51%* - 12%	*39%* - 31%	35%	20%	20%	0,1,0,0,0,0,0,1,0,0	38%	0	'+170/-220	170 DK	37.03703703703704%
Oliver Bjorkstrand	SEA	'105	H	0.5	0.47	50% - *24%*	47% - *23%*	35%	20%	20%	0,1,0,0,0,0,0,0,0,1	31%	0	'+170/-220	170 DK	37.03703703703704%
Mason Marchment	DAL	-310	A	0.5	0.44	*41%* - 27%	*25%* - 45%	35%	27%	0%	1,0,0,0,0,0,0,0,0,0	18%	0	'+210/-280	210 DK	32.25806451612903%
Wyatt Johnston	DAL	-310	A	0.5	0.41	*42%* - 19%	*24%* - 42%	33%	40%	80%	1,0,0,0,0,1,1,1,0,2	14%	0	'+175/-230	175 DK	36.36363636363637%
Sean Durzi	ARI	'124	H	0.5	0.42	59% - *17%*	33% - *33%*	33%	27%	40%	0,1,1,0,0,0,1,1,0,0	33%	0	'+130/-166	130 DK	43.47826086956522%
Cam Fowler	ANA	'250	H	0.5	0.41	59% - *18%*	30% - *35%*	33%	27%	40%	0,2,0,0,0,1,0,0,0,1	37%	0	'+140/-180	140 DK	41.66666666666667%
Logan Stankoven	DAL	-310	A	0.5	0.5	*25%* - 50%	*33%* - 33%	33%	33%	40%	0,1,0,0,0,2	0%	0	'+220/-298	220 DK	31.25%
Mason Mctavish	ANA	'250	H	0.5	0.44	55% - *19%*	25% - *39%*	33%	40%	40%	1,0,0,0,3,0,0,1,0,1	26%	0	'+195/-260	195 DK	33.89830508474576%
Jordan Eberle	SEA	'105	H	0.5	0.4	37% - *29%*	39% - *26%*	33%	33%	40%	0,0,0,1,0,0,0,0,1,1	40%	0	'+185/-245	185 DK	35.08771929824561%
Jt Compher	DET	-148	A	0.5	0.37	*41%* - 24%	*33%* - 33%	33%	33%	20%	0,0,1,0,0,0,1,0,0,0	30%	0	'+154/-200	154 DK	39.37007874015748%
Pavel Mintyukov	ANA	'250	H	0.5	0.41	53% - *22%*	35% - *32%*	33%	20%	20%	0,0,0,3,0,0,1,0,0,0	0%	0	'+195/-260	195 DK	33.89830508474576%
Dylan Guenther	ARI	'124	H	0.5	0.35	67% - *20%*	43% - *17%*	31%	27%	40%	0,0,0,1,0,0,1,2,0,0	0%	0	'+200/-270	200 DK	33.33333333333333%
Ryan Strome	ANA	'250	H	0.5	0.41	45% - *22%*	33% - *28%*	31%	27%	20%	2,1,0,0,1,0,2,0,0,0	27%	0	'+145/-190	145 DK	40.816326530612244%
Thomas Harley	DAL	-310	A	0.5	0.34	*28%* - 32%	*24%* - 36%	30%	27%	20%	1,1,0,0,0,1,0,0,0,0	36%	0	'+210/-280	210 DK	32.25806451612903%
Moritz Seider	DET	-148	A	0.5	0.4	*39%* - 17%	*31%* - 27%	29%	33%	20%	0,2,0,0,1,0,1,0,0,0	31%	0	'+190/-250	190 DK	34.48275862068966%
Ryan Hartman	MIN	'195	A	0.5	0.34	35% - *22%*	*30%* - 25%	28%	47%	60%	0,1,0,1,1,2,1,0,0,2	37%	0	'+230/-315	230 DK	30.303030303030305%
Artturi Lehkonen	COL	-238	H	0.5	0.38	*29%* - 25%	19% - *38%*	28%	33%	40%	1,0,0,0,0,1,0,0,1,0	39%	0	'+140/-180	140 DK	41.66666666666667%
Alex Killorn	ANA	'250	H	0.5	0.35	46% - *20%*	26% - *29%*	28%	20%	20%	0,1,0,0,0,0,1,0,0,0	36%	0	'+175/-230	175 DK	36.36363636363637%
Ross Colton	COL	-238	H	0.5	0.32	*35%* - 16%	28% - *27%*	27%	27%	40%	1,0,0,0,0,0,0,0,1,1	20%	0	'+290/-410	290 DK	25.64102564102564%
Eeli Tolvanen	SEA	'105	H	0.5	0.29	39% - *18%*	25% - *30%*	27%	7%	20%	0,0,0,0,0,0,1,0,0,0	21%	0	'+210/-280	210 DK	32.25806451612903%
Frank Vatrano	ANA	'250	H	0.5	0.32	39% - *18%*	17% - *34%*	26%	33%	20%	2,0,0,1,0,0,0,0,0,1	21%	0	'+185/-245	185 DK	35.08771929824561%
Matty Beniers	SEA	'105	H	0.5	0.32	30% - *20%*	38% - *11%*	25%	27%	40%	0,2,0,0,1,0,0,0,1,1	35%	0	'+185/-245	185 DK	35.08771929824561%
Logan Cooley	ARI	'124	H	0.5	0.3	44% - *13%*	25% - *26%*	25%	0%	0%	0,0,0,0,0,0,0,0,0,0	0%	0	'+220/-298	220 DK	31.25%
Andre Burakovsky	SEA	'105	H	0.5	0.28	33% - *14%*	7% - *40%*	24%	27%	40%	0,0,0,0,1,1,0,1,0,0	40%	0	'+190/-250	190 DK	34.48275862068966%
Jaden Schwartz	SEA	'105	H	0.5	0.26	40% - *12%*	32% - *14%*	24%	7%	20%	0,0,0,0,0,0,0,0,1,0	25%	0	'+220/-298	220 DK	31.25%
Marco Rossi	MIN	'195	A	0.5	0.25	23% - *24%*	*19%* - 29%	24%	7%	0%	1,0,0,0,0,0,0,0,0,0	5%	0	'+270/-375	270 DK	27.027027027027028%
Yanni Gourde	SEA	'105	H	0.5	0.27	26% - *21%*	16% - *32%*	23%	20%	40%	0,0,1,0,0,1,0,0,0,1	36%	0	'+220/-298	220 DK	31.25%
Lawson Crouse	ARI	'124	H	0.5	0.21	24% - *16%*	16% - *23%*	19%	20%	20%	0,1,0,1,0,0,0,1,0,0	21%	0	'+220/-298	220 DK	31.25%
Barrett Hayton	ARI	'124	H	0.5	0.16	20% - *14%*	22% - *8%*	16%	20%	40%	0,0,0,0,0,0,1,0,0,1	24%	0	'+220/-298	220 DK	31.25%
