EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	MGM	Bet365	CZ	PN	Kambi/BR	ESPN	LYR	L10	SZN	Splits
-5.0	-188 DK	65%	COL @ DAL	Wyatt Johnston	ast	u 0.5	'+150	'+145/-188	-	'+145/-190	139/-208	147/-199	-	'+145/-190	70%	60%	59%	0,0,0,0,1,1,0,0,1,1
-5.0	-485 DK	83%	COL @ DAL		away_total	o 1.5	-	-485/+320	-	-	-	-	-530/340	-	-	-	-	
-5.1	-220 BR	69%	COL @ DAL	Jonathan Drouin	pts	u 0.5	'+164	'+170/-225	'+165/-225	170/-230	-	174/-239	163/-220	'+170/-230	52%	60%	49%	2,0,0,0,1,1,0,1,0,0
-5.1	-140 MGM	58%	COL @ DAL	Gabriel Landeskog	pts	o 0.5	-148	-142/+110	-140/+105	-140/+110	-	-142/107	-150/114	-140/+110	-	50%	50%	0,2,0,2
-5.1	140 BR	42%	COL @ DAL		away_total	u 2.5	-174/+136	-170/+130	-	-	-174/126	-171/140	-186/140	-	-	-	-	
-5.1	-165 BR	62%	COL @ DAL		2p_total	u 2.0	-	-	'+125/-175	-	-	135/-164	123/-165	-	-	-	-	
-5.1	-500 MGM	83%	COL @ DAL		1p_total	o 0.5	-	-	-500/+325	-550/+340	-	-476/352	-560/360	-	-	-	-	
-5.2	-260 ESPN	72%	COL @ DAL	Mikael Granlund	ast	u 0.5	'+215	'+195/-265	-	'+195/-270	179/-278	201/-281	-	'+190/-260	-	90%	68%	0,0,0,0,0,0,1,0,0,0
-5.2	-160 MGM	62%	COL @ DAL	Devon Toews	pts	u 0.5	'+124	'+126/-162	'+120/-160	130/-165	-	125/-166	128/-167	'+120/-160	52%	30%	54%	3,1,0,1,1,0,0,1,1,1
-5.3	-300 ESPN	75%	COL @ DAL	Brock Nelson	ast	u 0.5	'+240	'+220/-300	-	'+215/-310	205/-328	231/-330	-	'+210/-300	-	80%	65%	0,0,0,0,0,0,0,2,0,2
-5.3	165 BR	38%	COL @ DAL		3p_total	o 2.5	-	-	'+155/-220	-	-	153/-188	165/-230	-	-	-	-	
-5.3	-1204 CZ	92%	COL @ DAL		spread	u -3.0	-	-	-	-	548/-1204	-	650/-1250	-	-	-	-	
-5.4	-110 MGM	52%	COL @ DAL	Matt Duchene	pts	u 0.5	-104	-120/-110	-118/-110	-120/-110	-	-119/-112	-114/-114	-115/-115	52%	80%	42%	0,0,0,1,0,0,0,0,1,0
-5.4	-154 DK	61%	COL @ DAL	Martin Necas	ast	u 0.5	'+128	'+120/-154	-	'+125/-155	111/-164	118/-157	-	'+115/-155	-	50%	58%	0,0,1,1,1,0,0,0,2,1
-5.4	-190 ESPN	66%	COL @ DAL	Gabriel Landeskog	ast	u 0.5	'+124	'+150/-198	-	'+150/-200	139/-208	152/-205	-	'+145/-190	-	50%	50%	0,1,0,2
-5.4	-125 MGM	56%	COL @ DAL	Artturi Lehkonen	pts	o 0.5	-125	-125/-105	-125/-105	-125/-105	-	-126/-105	-136/105	-125/-105	56%	50%	50%	0,0,0,1,1,1,0,0,1,1
-5.4	-224 CZ	69%	COL @ DAL		total	o 5.0	-	-	-	-	-224/159	-214/177	-	-	-	-	-	
-5.4	-310 FD	76%	COL @ DAL		total	o 4.5	-310/+230	-325/+230	-	-320/+220	-324/219	-316/253	-	-	-	-	-	
-5.5	-500 BR	83%	COL @ DAL	Roope Hintz	pts	u 1.5	'+390	'+320	-	'+330	-	-	320/-500	-	80%	80%	77%	0,1,1,0,1,0,0,0,2,4
-5.5	125 BR	44%	COL @ DAL	Martin Necas	pts	u 0.5	-142	-154/+120	-155/+120	-160/128	-	-161/121	-162/125	-155/+115	-	40%	42%	1,0,1,1,1,0,0,0,2,2
-5.5	-5000 FD	98%	COL @ DAL		total	o 2.5	-5000/+1300	-	-	-4000/+1200	-	-	-	-	-	-	-	
-5.5	-425 MGM	81%	COL @ DAL		1p_total	u 2.5	-	-	'+290/-425	'+290/-450	-	313/-415	300/-435	-	-	-	-	
-5.5	-625 MGM	86%	COL @ DAL		2p_spread	u -1.0	-	-	'+360/-625	-	-	417/-562	-	-	-	-	-	
-5.6	-400 ESPN	80%	COL @ DAL	Jamie Benn	ast	u 0.5	'+285	'+280/-400	-	'+280/-400	266/-458	293/-441	-	'+275/-400	57%	80%	63%	0,0,2,0,0,1,0,0,0,0
-5.6	-625 BR	86%	COL @ DAL	Artturi Lehkonen	pts	u 1.5	'+450	'+380	-	'+400	-	-	370/-625	-	82%	100%	88%	0,0,0,1,1,1,0,0,1,1
-5.6	-152 FD	60%	COL @ DAL		2p_total	o 1.5	-152/+120	-	-155/+110	-	-	-146/125	-162/120	-	-	-	-	
-5.7	-255 DK	72%	COL @ DAL	Tyler Seguin	ast	u 0.5	'+200	'+190/-255	-	'+190/-260	173/-268	195/-271	-	'+190/-260	68%	60%	56%	1,1,0,1,0,0,0,0,1,0
-5.7	110 ESPN	48%	COL @ DAL	Cale Makar	ast	u 0.5	-125	-142/+110	-	-140/+110	-146/100	-142/107	-	-140/+110	38%	40%	45%	2,1,0,1,1,1,0,0,0,2
-5.8	-114 BR	53%	COL @ DAL	Thomas Harley	pts	u 0.5	'+100	-115/-115	-115/-115	-115/-115	-	-116/-114	-114/-114	-115/-115	62%	40%	52%	1,1,0,0,1,1,1,0,1,0
-5.8	120 BR	45%	COL @ DAL	Roope Hintz	pts	u 0.5	-130	-148/+115	-155/+115	-155/125	-	-155/117	-159/120	-155/+115	47%	50%	46%	0,1,1,0,1,0,0,0,2,4
-5.8	-370 DK	79%	COL @ DAL	Jonathan Drouin	ast	u 0.5	'+285	'+260/-370	-	'+265/-370	234/-388	275/-408	-	'+250/-375	62%	60%	55%	1,0,0,0,1,1,0,1,0,0
-5.8	-560 FD	85%	COL @ DAL		total	o 3.5	-560/+370	-575/+360	-	-600/+375	-	-	-	-	-	-	-	
-6.0	-370 DK	79%	COL @ DAL		home_total	o 1.5	-	-370/+255	-	-	-	-	-375/260	-	-	-	-	
-6.1	215 BR	32%	COL @ DAL		spread	u 1.0	-	-	-	-	-274/190	-	-275/215	-	-	-	-	
-6.1	-275 MGM	73%	COL @ DAL		1p_spread	o 0.5	-	-	-275/+190	-245/+195	-	-272/221	-	-	-	-	-	
-6.1	-135 MGM	57%	COL @ DAL		2p_ml	o  	-	-	-135/-105	-	-	-126/110	-	-	-	-	-	
-6.2	-129 BR	56%	COL @ DAL	Valeri Nichushkin	pts	u 0.5	'+104	'+100/-130	-105/-130	100/-130	-	-104/-127	-103/-129	'+100/-130	32%	60%	46%	0,1,0,2,0,0,1,0,0,2
-6.2	-480 BR	83%	COL @ DAL	Martin Necas	pts	u 1.5	'+370	'+295	-	'+300	-	-	310/-480	-	-	80%	75%	1,0,1,1,1,0,0,0,2,2
