EV	EV Book	Game	Player	Prop	O/U	FD	DK	ESPN	MGM	Kambi	PN	CZ	BV
7.5	1100 FD	michigan @ washington	Will Rogers	attd	o  	'+1100	'+600	-	-	-	-	-	-
7.4	107 ESPN	tennessee @ arkansas	Nico Iamaleava	attd	o  	-135	'+100	'+107/-145	-150	-	-	-	-
7.1	360 DK	ucf @ florida	Evan Morris	attd	o  	-	'+360	-	'+260	-	-	-	-
6.9	550 MGM	smu @ louisville	Kevin Jennings	team_ftd	o  	'+370	-	-	'+550	-	-	-	-
6.8	-105 FD	ucla @ penn state	Tyler Warren	attd	o  	-105	-145	-	-140	-	-	-	-
6.8	210 FD	alabama @ vanderbilt	Kendrick Law	attd	o  	'+210	'+175	-	'+145	-	-	-	-
6.6	120 FD	michigan @ washington	Jonah Coleman	attd	o  	'+120	-120	-110/-125	-105	-	-	-	-
6.2	340 FD	ucla @ penn state	Liam Clifford	attd	o  	'+340	'+200	-	'+300	-	-	-	-
5.9	115 FD	indiana @ northwestern	Justice Ellison	attd	o  	'+115	-145	-110/-125	-105	-	-	-	-
5.5	130 ESPN	texas tech @ arizona	Josh Kelly	attd	o  	'+110	-115	'+130/-180	'+110	-	-	-	-
5.3	425 DK	navy @ air force	Blake Horvath	ftd	o  	'+300	'+425	-	'+310	-	-	-	-
5.3	400 MGM	missouri @ texas a&m	Luther Burden	team_ftd	o  	'+290	-	-	'+400	-	-	-	-
5.3	700 FD	clemson @ florida state	Kentron Poitier	attd	o  	'+700	'+450	-	-	-	-	-	-
5.2	170 FD	baylor @ iowa state	Jayden Higgins	attd	o  	'+170	'+120	'+135/-185	-	-	-	-	-
5.0	165 FD	pittsburgh @ north carolina	Jj Jones	attd	o  	'+165	'+130	-	-	-	-	-	-
5.0	130 FD	navy @ air force	Eli Heidenreich	attd	o  	'+130	-105	-	'+110	-	-	-	-
5.0	850 FD	iowa @ ohio state	Gee Scott	attd	o  	'+850	'+500	'+500/-1000	-	-	-	-	-
4.9	-180 ESPN	baylor @ iowa state	Abu Sama	attd	o  	-260	-	-180/+130	-	-	-	-	-
4.8	500 MGM	ucla @ penn state	Tj Harden	team_ftd	o  	'+350	-	-	'+500	-	-	-	-
4.8	1400 MGM	ucla @ penn state	J Michael Sturdivant	team_ftd	o  	'+700	-	-	'+1400	-	-	-	-
4.8	215 ESPN	ucla @ penn state	Drew Allar	attd	o  	'+150	'+165	'+215/-310	'+190	-	-	-	-
4.8	260 FD	missouri @ texas a&m	Noah Thomas	attd	o  	'+260	'+200	-	-	-	-	-	-
4.7	110 FD	tennessee @ arkansas	Dylan Sampson	2+td	o  	'+110	-	-	-115	-	-	-	-
4.4	210 FD	smu @ louisville	Chris Bell	attd	o  	'+210	'+130	-	'+200	-	-	-	-
4.3	200 FD	ucla @ penn state	Omari Evans	attd	o  	'+200	'+150	-	'+165	-	-	-	-
4.3	105 MGM	iowa @ ohio state	Jeremiah Smith	attd	o  	-120	-120	-	'+105	-	-	-	-
4.0	410 FD	ucla @ penn state	Nicholas Singleton	team_ftd	o  	'+410	-	-	'+300	-	-	-	-
3.9	420 FD	michigan @ washington	Cameron Davis	attd	o  	'+420	'+295	'+300/-475	-	-	-	-	-
3.8	175 FD	indiana @ northwestern	Cam Porter	attd	o  	'+175	'+150	'+130/-180	'+165	-	-	-	-
3.8	800 FD	baylor @ iowa state	Ketron Jackson	attd	o  	'+800	'+500	-	-	-	-	-	-
3.8	-240 FD	auburn @ georgia	Trevor Etienne	attd	o  	-240	-380	-	-350	-	-	-	-
3.5	235 DK	ucf @ florida	Myles Montgomery	attd	o  	-	'+235	-	'+185	-	-	-	-
3.5	235 DK	missouri @ texas a&m	Cyrus Allen	attd	o  	'+200	'+235	-	'+170	-	-	-	-
3.4	290 FD	indiana @ northwestern	Myles Price	attd	o  	'+290	'+170	'+220/-320	'+280	-	-	-	-
3.2	135 ESPN	auburn @ georgia	Dillon Bell	attd	o  	'+105	'+115	'+135/-185	'+110	-	-	-	-
3.1	240 FD	pittsburgh @ north carolina	Kobe Paysour	attd	o  	'+240	'+190	-	-	-	-	-	-
2.9	400 ESPN	tennessee @ arkansas	Dylan Sampson	ftd	o  	'+270	'+350	'+400/-650	'+270	-	-	-	-
2.9	-230 FD	pittsburgh @ north carolina	Desmond Reid	attd	o  	-230	-330	-	-	-	-	-	-
2.7	110 FD	rutgers @ nebraska	Dante Dowdell	attd	o  	'+110	-	-114/-122	-110	-	-	-	-
2.5	200 FD	auburn @ georgia	Nate Frazier	attd	o  	'+200	'+160	-	'+165	-	-	-	-
2.4	440 ESPN	indiana @ northwestern	Miles Cross	attd	o  	'+330	'+320	'+440/-800	'+320	-	-	-	-
2.0	450 FD	smu @ louisville	Jordan Hudson	attd	o  	'+450	'+330	-	-	-	-	-	-
1.9	300 FD	missouri @ texas a&m	Marcus Carroll	attd	o  	'+300	'+235	-	-	-	-	-	-
1.8	100 DK	ucf @ florida	Kobe Hudson	attd	o  	-	'+100	-	-120	-	-	-	-
1.8	100 DK	ucf @ florida	Kj Jefferson	attd	o  	-	'+100	-	-120	-	-	-	-
1.7	195 DK	ucf @ florida	Chimere Dike	attd	o  	-	'+195	-	'+160	-	-	-	-
1.5	260 ESPN	texas tech @ arizona	Caleb Douglas	attd	o  	'+240	'+165	'+260/-400	'+220	-	-	-	-
1.1	380 ESPN	baylor @ iowa state	Abu Sama	ftd	o  	'+290	-	'+380/-600	-	-	-	-	-
1.0	-114 ESPN	alabama @ vanderbilt	Justice Haynes	attd	o  	-135	-125	-114/-122	-150	-	-	-	-
0.9	220 MGM	rutgers @ nebraska	Rahmir Johnson	attd	o  	'+145	-	'+185/-265	'+220	-	-	-	-
0.8	260 FD	ucla @ penn state	Tj Harden	attd	o  	'+260	'+230	-	'+190	-	-	-	-
0.8	260 MGM	missouri @ texas a&m	Nate Noel	team_ftd	o  	'+210	-	-	'+260	-	-	-	-
0.8	333 MGM	michigan @ washington	Denzel Boston	team_ftd	o  	'+260	-	-	'+333	-	-	-	-
0.0	210 FD	pittsburgh @ north carolina	Derrick Davis	attd	o  	'+210	'+175	-	-	-	-	-	-
-0.0	300 DK	navy @ air force	John Busha	attd	o  	'+240	'+300	-	-	-	-	-	-
-0.1	110 MGM	missouri @ texas a&m	Luther Burden	attd	o  	-105	-	-	'+110	-	-	-	-
-0.1	250 FD	kansas @ arizona state	Xavier Guillory	attd	o  	'+250	'+205	-	-	-	-	-	-
-0.1	190 DK	kansas @ arizona state	Jalon Daniels	attd	o  	'+160	'+190	-	-	-	-	-	-
-0.2	115 FD	smu @ louisville	Caullin Lacy	attd	o  	'+115	'+100	-	-	-	-	-	-
-0.2	-145 ESPN	michigan @ washington	Kalel Mullings	attd	o  	-170	-170	-145/+107	-175	-	-	-	-
-0.3	230 MGM	indiana @ northwestern	Omar Cooper	attd	o  	'+220	'+165	'+185/-265	'+230	-	-	-	-
-0.4	350 DK	ucf @ florida	Aidan Mizell	attd	o  	-	'+350	-	'+275	-	-	-	-
-0.4	155 ESPN	kansas @ arizona state	Jordyn Tyson	attd	o  	'+150	'+115	'+155/-220	-	-	-	-	-
-0.5	-300 ESPN	tennessee @ arkansas	Dylan Sampson	attd	o  	-400	-350	-300/+210	-450	-	-	-	-
-0.6	480 FD	clemson @ florida state	Jakhi Douglas	attd	o  	'+480	'+425	'+335/-550	-	-	-	-	-
-0.6	480 FD	baylor @ iowa state	Hal Presley	attd	o  	'+480	'+425	'+335/-550	-	-	-	-	-
-0.9	190 ESPN	tennessee @ arkansas	Bru Mccoy	attd	o  	'+165	'+150	'+190/-275	'+170	-	-	-	-
-0.9	-134 ESPN	alabama @ vanderbilt	Jam Miller	attd	o  	-160	-145	-134/-102	-160	-	-	-	-
-1.0	240 MGM	smu @ louisville	Brashard Smith	team_ftd	o  	'+200	-	-	'+240	-	-	-	-
-1.0	370 FD	alabama @ vanderbilt	Eli Stowers	attd	o  	'+370	'+280	'+275/-425	'+350	-	-	-	-
-1.1	220 FD	missouri @ texas a&m	Brady Cook	attd	o  	'+220	'+180	-	'+190	-	-	-	-
-1.2	125 DK	ucf @ florida	Elijhah Badger	attd	o  	-	'+125	-	'+110	-	-	-	-
-1.3	-115 FD	smu @ louisville	Jacorey Brooks	attd	o  	-115	-130	-	-130	-	-	-	-
-1.3	650 MGM	rutgers @ nebraska	Rahmir Johnson	team_ftd	o  	'+450	-	-	'+650	-	-	-	-
-1.3	650 FD	michigan @ washington	Semaj Morgan	attd	o  	'+650	'+450	-	-	-	-	-	-
-1.5	255 DK	texas tech @ arizona	Kedrick Reescano	attd	o  	'+195	'+255	-	'+230	-	-	-	-
-1.5	1000 DK	tennessee @ arkansas	Jaquinden Jackson	ftd	o  	'+800	'+1000	'+600/-1200	'+650	-	-	-	-
-1.5	195 FD	smu @ louisville	Jake Bailey	attd	o  	'+195	'+165	-	'+170	-	-	-	-
-1.5	700 FD	clemson @ florida state	Jalen Brown	attd	o  	'+700	'+475	-	-	-	-	-	-
-1.6	180 FD	rutgers @ nebraska	Isaiah Neyor	attd	o  	'+180	-	'+148/-210	'+165	-	-	-	-
-1.6	100 FD	indiana @ northwestern	Ty Son Lawton	attd	o  	'+100	-110	-	-115	-	-	-	-
-1.6	160 FD	auburn @ georgia	Jarquez Hunter	attd	o  	'+160	'+140	'+135/-185	'+150	-	-	-	-
-1.7	-260 FD	texas tech @ arizona	Tahj Brooks	attd	o  	-260	-370	-	-275	-	-	-	-
-1.7	105 MGM	rutgers @ nebraska	Kyle Monangai	attd	o  	'+105	-	-114/-122	'+105	-	-	-	-
-1.7	148 ESPN	ole miss @ south carolina	Lanorris Sellers	attd	o  	'+130	-	'+148/-210	'+130	-	-	-	-
-1.7	155 FD	kansas @ arizona state	Luke Grimm	attd	o  	'+155	'+130	'+135/-185	-	-	-	-	-
-1.9	-250 DK	ucf @ florida	Rj Harvey	attd	o  	-	-250	-	-300	-	-	-	-
-1.9	750 DK	tennessee @ arkansas	Braylen Russell	attd	o  	'+500	'+750	-	-	-	-	-	-
-1.9	750 FD	missouri @ texas a&m	Theo Wease	team_ftd	o  	'+750	-	-	'+500	-	-	-	-
-1.9	135 DK	iowa @ ohio state	Kaleb Johnson	attd	o  	'+100	'+135	'+120/-165	'+125	-	-	-	-
-1.9	180 DK	alabama @ vanderbilt	Diego Pavia	attd	o  	'+175	'+180	'+148/-210	'+150	-	-	-	-
-2.0	103 ESPN	auburn @ georgia	Arian Smith	attd	o  	-105	-110	'+103/-140	-110	-	-	-	-
-2.1	230 MGM	auburn @ georgia	Keandre Lambert Smith	attd	o  	'+220	'+200	'+185/-265	'+230	-	-	-	-
-2.2	380 FD	rutgers @ nebraska	Emmett Johnson	attd	o  	'+380	-	-	'+300	-	-	-	-
-2.2	155 MGM	alabama @ vanderbilt	Germie Bernard	attd	o  	'+155	'+135	'+130/-180	'+155	-	-	-	-
-2.3	-110 FD	tennessee @ arkansas	Jaquinden Jackson	attd	o  	-110	-110	-125/-110	-135	-	-	-	-
-2.3	-265 ESPN	alabama @ vanderbilt	Jalen Milroe	attd	o  	-310	-290	-265/+185	-350	-	-	-	-
-2.5	110 DK	ucf @ florida	Trent Whittemore	attd	o  	-	'+110	-	'+100	-	-	-	-
-2.5	235 DK	ucf @ florida	Graham Mertz	attd	o  	-	'+235	-	'+200	-	-	-	-
-2.7	500 FD	ucla @ penn state	Tyler Warren	team_ftd	o  	'+500	-	-	'+375	-	-	-	-
-2.7	500 FD	tennessee @ arkansas	Jaquinden Jackson	2+td	o  	'+500	-	-	'+375	-	-	-	-
-2.7	500 FD	smu @ louisville	Romello Brinson	attd	o  	'+500	'+300	-	'+450	-	-	-	-
-2.7	195 DK	missouri @ texas a&m	Amari Daniels	attd	o  	'+170	'+195	-	'+170	-	-	-	-
-2.8	-170 DK	ucf @ florida	Montrell Johnson	attd	o  	-	-170	-	-190	-	-	-	-
-2.8	170 FD	smu @ louisville	Tyler Shough	attd	o  	'+170	'+155	-	'+145	-	-	-	-
-2.8	170 DK	clemson @ florida state	Jay Haynes	attd	o  	'+150	'+170	-	-	-	-	-	-
-2.9	145 MGM	usc @ minnesota	Jakobi Lane	attd	o  	-	'+130	-	'+145	-	-	-	-
-2.9	550 FD	rutgers @ nebraska	Athan Kaliakmanis	attd	o  	'+550	-	'+375/-650	'+500	-	-	-	-
-2.9	110 DK	michigan @ washington	Denzel Boston	attd	o  	-110	'+110	'+103/-140	-110	-	-	-	-
-3.0	-115 DK	pittsburgh @ north carolina	Konata Mumpfield	attd	o  	-125	-115	-	-	-	-	-	-
-3.0	390 DK	indiana @ northwestern	Jack Lausch	attd	o  	'+320	'+390	'+300/-475	'+300	-	-	-	-
-3.1	260 DK	iowa @ ohio state	Kamari Moulton	attd	o  	'+220	'+260	-	-	-	-	-	-
-3.1	148 ESPN	baylor @ iowa state	Jaylin Noel	attd	o  	'+135	'+130	'+148/-210	-	-	-	-	-
-3.1	270 FD	auburn @ georgia	Carson Beck	attd	o  	'+270	'+195	'+230/-340	'+210	-	-	-	-
-3.1	500 MGM	alabama @ vanderbilt	Junior Sherrill	attd	o  	'+500	'+330	'+350/-600	'+500	-	-	-	-
-3.2	-250 MGM	usc @ minnesota	Woody Marks	attd	o  	-	-285	-	-250	-	-	-	-
-3.3	150 FD	tennessee @ arkansas	Taylen Green	attd	o  	'+150	'+150	-	'+120	-	-	-	-
-3.3	150 FD	michigan @ washington	Donovan Edwards	attd	o  	'+150	'+140	-	'+130	-	-	-	-
-3.5	-125 MGM	usc @ minnesota	Darius Taylor	attd	o  	-	-135	-	-125	-	-	-	-
-3.5	300 MGM	alabama @ vanderbilt	Jalen Milroe	team_ftd	o  	'+250	-	-	'+300	-	-	-	-
-3.6	125 FD	clemson @ florida state	Lawrance Toafili	attd	o  	'+125	'+125	'+110/-150	-	-	-	-	-
-3.7	-135 DK	smu @ louisville	Isaac Brown	attd	o  	-145	-135	-	-145	-	-	-	-
-3.7	155 FD	alabama @ vanderbilt	Jalen Milroe	2+td	o  	'+155	-	-	'+140	-	-	-	-
-3.8	125 FD	pittsburgh @ north carolina	Kenny Johnson	attd	o  	'+125	'+115	-	-	-	-	-	-
-3.8	-135 FD	iowa @ ohio state	Treveyon Henderson	attd	o  	-135	-145	-145/+107	-155	-	-	-	-
-3.9	750 ESPN	indiana @ northwestern	Justice Ellison	ftd	o  	'+600	'+425	'+750/-1600	'+500	-	-	-	-
-4.0	-2000 FD	utah state @ boise state	Ashton Jeanty	attd	o  	-2000	-4000	-4000/+1000	-	-	-	-	-
-4.0	-270 FD	texas tech @ arizona	Tetairoa Mcmillan	attd	o  	-270	-330	-	-275	-	-	-	-
-4.0	-115 DK	missouri @ texas a&m	Leveon Moss	attd	o  	-120	-115	-	-125	-	-	-	-
-4.1	330 FD	indiana @ northwestern	Kurtis Rourke	attd	o  	'+330	'+300	'+260/-400	'+270	-	-	-	-
-4.2	210 MGM	iowa @ ohio state	Kaleb Johnson	team_ftd	o  	'+185	-	-	'+210	-	-	-	-
-4.3	400 FD	iowa @ ohio state	Treveyon Henderson	2+td	o  	'+400	-	-	'+320	-	-	-	-
-4.3	190 DK	baylor @ iowa state	Richard Reese	attd	o  	'+170	'+190	-	-	-	-	-	-
-4.3	190 DK	baylor @ iowa state	Bryson Washington	attd	o  	'+170	'+190	-	-	-	-	-	-
-4.4	-125 MGM	missouri @ texas a&m	Nate Noel	attd	o  	-125	-140	-	-125	-	-	-	-
-4.5	135 FD	texas tech @ arizona	Quali Conley	team_ftd	o  	'+135	-	-	'+125	-	-	-	-
-4.6	-250 DK	pittsburgh @ north carolina	Omarion Hampton	attd	o  	-270	-250	-	-	-	-	-	-
-4.6	350 ESPN	kansas @ arizona state	Chamon Metayer	attd	o  	'+320	'+255	'+350/-600	-	-	-	-	-
-4.7	500 DK	ucla @ penn state	Kaytron Allen	ftd	o  	'+390	'+500	'+380/-600	'+475	-	-	-	-
-4.8	550 MGM	indiana @ northwestern	Bryce Kirtz	attd	o  	'+550	'+475	'+375/-650	'+550	-	-	-	-
-4.9	140 FD	pittsburgh @ north carolina	Raphael Williams	attd	o  	'+140	'+130	-	-	-	-	-	-
-4.9	450 ESPN	alabama @ vanderbilt	Jalen Milroe	ftd	o  	'+340	'+400	'+450/-750	'+320	-	-	-	-
-5.2	-135 FD	texas tech @ arizona	Quali Conley	2+td	o  	-135	-	-	-140	-	-	-	-
-5.2	175 FD	pittsburgh @ north carolina	Bryson Nesbit	attd	o  	'+175	'+160	-	-	-	-	-	-
-5.3	350 FD	ucla @ penn state	Nicholas Singleton	2+td	o  	'+350	-	-	'+290	-	-	-	-
-5.3	600 FD	michigan @ washington	Keleki Latu	attd	o  	'+600	'+500	'+420/-750	-	-	-	-	-
-5.3	-280 FD	kansas @ arizona state	Cameron Skattebo	attd	o  	-280	-295	-	-	-	-	-	-
-5.3	1200 DK	iowa @ ohio state	Kaleb Johnson	ftd	o  	'+700	'+1200	'+750/-1600	'+700	-	-	-	-
-5.5	160 DK	utah state @ boise state	Ashton Jeanty	ftd	o  	'+135	'+160	'+160/-200	-	-	-	-	-
-5.6	150 FD	texas tech @ arizona	Tahj Brooks	team_ftd	o  	'+150	-	-	'+140	-	-	-	-
-5.6	320 FD	texas tech @ arizona	Behren Morton	attd	o  	'+320	'+250	'+260/-400	'+300	-	-	-	-
-5.6	950 FD	baylor @ iowa state	Jayden Higgins	ftd	o  	'+950	'+750	'+600/-1200	-	-	-	-	-
-5.7	180 FD	texas tech @ arizona	Tahj Brooks	2+td	o  	'+180	-	-	'+165	-	-	-	-
-5.7	-134 ESPN	ole miss @ south carolina	Tre Harris	attd	o  	-140	-	-134/-102	-135	-	-	-	-
-5.7	-140 DK	kansas @ arizona state	Devin Neal	attd	o  	-165	-140	-140/+103	-	-	-	-	-
-5.8	-190 MGM	ole miss @ south carolina	Matt Jones	attd	o  	-195	-	-	-190	-	-	-	-
-5.8	375 MGM	michigan @ washington	Colston Loveland	attd	o  	'+330	'+195	'+315/-500	'+375	-	-	-	-
-5.8	165 FD	alabama @ vanderbilt	Sedrick Alexander	attd	o  	'+165	'+160	-	'+145	-	-	-	-
-5.8	370 DK	alabama @ vanderbilt	Aj Newberry	attd	o  	'+330	'+370	-	'+280	-	-	-	-
-5.9	340 MGM	usc @ minnesota	Elijah Spencer	attd	o  	-	'+285	-	'+340	-	-	-	-
-6.0	185 FD	navy @ air force	Daba Fofana	attd	o  	'+185	'+170	-	-	-	-	-	-
-6.0	950 DK	indiana @ northwestern	Caleb Komolafe	attd	o  	'+650	'+950	-	'+550	-	-	-	-
-6.1	-150 FD	smu @ louisville	Brashard Smith	attd	o  	-150	-150	-	-155	-	-	-	-
-6.1	-170 FD	iowa @ ohio state	Quinshon Judkins	attd	o  	-170	-175	-175/+125	-190	-	-	-	-
-6.1	225 DK	baylor @ iowa state	Sawyer Robertson	attd	o  	'+160	'+225	'+210/-300	-	-	-	-	-
-6.2	235 DK	navy @ air force	Aiden Calvert	attd	o  	'+210	'+235	-	-	-	-	-	-
-6.3	148 ESPN	texas tech @ arizona	Coy Eakin	attd	o  	'+140	'+140	'+148/-210	'+140	-	-	-	-
-6.3	375 MGM	smu @ louisville	Isaac Brown	team_ftd	o  	'+310	-	-	'+375	-	-	-	-
-6.4	160 MGM	usc @ minnesota	Zachariah Branch	attd	o  	-	'+150	-	'+160	-	-	-	-
-6.4	190 FD	navy @ air force	Cade Harris	attd	o  	'+190	'+170	-	'+180	-	-	-	-
-6.4	245 DK	michigan @ washington	Alex Orji	attd	o  	'+240	'+245	'+210/-300	'+230	-	-	-	-
-6.6	130 DK	kansas @ arizona state	Sam Leavitt	attd	o  	'+125	'+130	-	-	-	-	-	-
-6.6	-185 DK	clemson @ florida state	Phil Mafah	attd	o  	-195	-185	-185/+135	-	-	-	-	-
-6.6	280 FD	baylor @ iowa state	Benjamin Brahmer	attd	o  	'+280	'+245	-	-	-	-	-	-
-6.7	-150 MGM	navy @ air force	Blake Horvath	attd	o  	-150	-150	-	-150	-	-	-	-
-6.7	260 ESPN	kansas @ arizona state	Lawrence Arnold	attd	o  	'+230	'+230	'+260/-400	-	-	-	-	-
-6.8	270 FD	texas tech @ arizona	Jeremiah Patterson	attd	o  	'+270	'+235	-	'+240	-	-	-	-
-6.8	220 MGM	rutgers @ nebraska	Kyle Monangai	team_ftd	o  	'+200	-	-	'+220	-	-	-	-
-6.8	220 DK	clemson @ florida state	Bryant Wesco	attd	o  	'+200	'+220	-	-	-	-	-	-
-6.8	450 MGM	alabama @ vanderbilt	Sedrick Alexander	team_ftd	o  	'+360	-	-	'+450	-	-	-	-
-7.0	170 MGM	usc @ minnesota	Kyron Hudson	attd	o  	-	'+160	-	'+170	-	-	-	-
-7.1	900 FD	ucla @ penn state	Keegan Jones	attd	o  	'+900	'+850	'+550/-1100	'+800	-	-	-	-
-7.2	150 DK	clemson @ florida state	Antonio Williams	attd	o  	'+135	'+150	'+140/-200	-	-	-	-	-
-7.4	175 FD	navy @ air force	Alex Tecza	attd	o  	'+175	'+165	-	-	-	-	-	-
-7.4	340 FD	auburn @ georgia	Trevor Etienne	ftd	o  	'+340	-	-	'+290	-	-	-	-
-7.5	220 ESPN	auburn @ georgia	Colbie Young	attd	o  	'+200	'+210	'+220/-320	'+195	-	-	-	-
-7.7	310 FD	iowa @ ohio state	Quinshon Judkins	2+td	o  	'+310	-	-	'+270	-	-	-	-
-7.7	700 FD	indiana @ northwestern	Justice Ellison	2+td	o  	'+700	-	-	'+500	-	-	-	-
-7.7	140 FD	indiana @ northwestern	Elijah Sarratt	attd	o  	'+140	-110	'+140/-200	'+135	-	-	-	-
-7.7	400 MGM	alabama @ vanderbilt	Quincy Skinner	attd	o  	'+400	'+340	'+315/-500	'+400	-	-	-	-
-7.9	600 FD	ucla @ penn state	Harrison Wallace	team_ftd	o  	'+600	-	-	'+450	-	-	-	-
-7.9	210 MGM	navy @ air force	Blake Horvath	team_ftd	o  	'+195	-	-	'+210	-	-	-	-
-7.9	600 FD	iowa @ ohio state	Emeka Egbuka	team_ftd	o  	'+600	-	-	'+450	-	-	-	-
-8.1	500 ESPN	iowa @ ohio state	Quinshon Judkins	ftd	o  	'+410	'+400	'+500/-900	'+375	-	-	-	-
-8.1	380 FD	baylor @ iowa state	Eli Green	attd	o  	'+380	'+320	-	-	-	-	-	-
-8.2	135 FD	iowa @ ohio state	Emeka Egbuka	attd	o  	'+135	'+115	'+135/-185	'+130	-	-	-	-
-8.2	410 FD	iowa @ ohio state	Brandon Inniss	attd	o  	'+410	'+340	-	-	-	-	-	-
-8.5	240 ESPN	kansas @ arizona state	Quentin Skinner	attd	o  	'+230	'+210	'+240/-350	-	-	-	-	-
-8.5	145 FD	iowa @ ohio state	Will Howard	attd	o  	'+145	'+130	'+140/-200	'+135	-	-	-	-
-8.5	140 FD	clemson @ florida state	Cade Klubnik	attd	o  	'+140	'+140	'+135/-185	-	-	-	-	-
-8.6	800 FD	michigan @ washington	Colston Loveland	team_ftd	o  	'+800	-	-	'+550	-	-	-	-
