EV	EV Book	Game	Player	Prop	O/U	FD	DK	ESPN	MGM	Kambi	PN	CZ	BV
-2.9	-129 DK	army @ tulsa		spread	o -11.0	-	-129/-103	-	-	-	-132/112	-	-
-3.0	105 DK	south alabama @ arkansas state		1q_spread	o -0.5	-	'+105/-125	-	-	-	102/-121	-	-
-3.0	104 DK	purdue @ wisconsin		total	u 44.0	-	-138/+104	-	-	-	-119/102	-	-
-3.0	111 DK	purdue @ wisconsin		total	u 43.5	-	-149/+111	-	-	-	-127/108	-	-
-3.0	-123 DK	old dominion @ coastal carolina		total	u 53.0	-	-108/-123	-	-	-	107/-125	-	-
-3.0	-122 DK	boston college @ virginia		spread	u -1.0	-	-109/-122	-	-	-	107/-123	-	-
-3.0	-115 FD	boston college @ virginia		ml	u  	-104/-115	-102/-118	-	-	-	102/-117	-	-
-3.1	-122 DK	western michigan @ ball state		spread	o -8.5	-	-122/-109	-	-	-	-124/106	-	-
-3.1	-135 DK	virginia tech @ stanford		spread	o -7.0	-	-135/+101	-	-	-	-137/117	-	-
-3.1	-114 FD	utah state @ boise state		total	o 65.5	-114/-106	-123/-108	-	-	-	-116/-100	-	-
-3.1	-102 DK	ucla @ penn state		total	o 47.5	-115/-105	-102/-130	-	-	-	105/-122	-	-
-3.1	-112 DK	tulane @ uab		total	o 54.0	-	-112/-108	-	-	-	-114/-103	-	-
-3.1	-105 FD	tulane @ uab		spread	u -17.5	-115/-105	-112/-108	-	-	-	-109/-106	-	-
-3.1	-110 FD	tennessee @ arkansas		total	o 56.5	-110/-110	-118/-112	-	-	-	-112/-104	-	-
-3.1	-143 DK	pittsburgh @ north carolina		total	u 66.0	-	'+107/-143	-	-	-	124/-145	-	-
-3.1	-132 DK	pittsburgh @ north carolina		spread	o -1.0	-	-132/-101	-	-	-	-135/114	-	-
-3.1	-112 DK	nevada @ san jose state		1h_total	u 24.5	-	-108/-112	-	-	-	-105/-116	-	-
-3.1	-131 DK	navy @ air force		spread	o -8.5	-	-131/-101	-	-	-	-134/113	-	-
-3.1	-650 DK	iowa @ ohio state		1h_ml	u  	-	'+470/-650	-	-	-	495/-758	-	-
-3.1	-112 DK	army @ tulsa		total	u 51.0	-	-108/-112	-	-	-	-103/-114	-	-
-3.1	-112 DK	alabama @ vanderbilt		1h_spread	u -12.5	-	-108/-112	-	-	-	-104/-115	-	-
-3.2	110 DK	wake forest @ nc state		away_total	o 25.5	-	'+110/-150	-	-	-	108/-126	-	-
-3.2	-110 FD	utah state @ boise state		spread	o 27.5	-110/-110	-119/-112	-	-	-	-	-	-
-3.2	-143 DK	south alabama @ arkansas state		spread	o -1.5	-	-143/+107	-	-	-	-146/123	-	-
-3.2	-151 DK	south alabama @ arkansas state		spread	o -1.0	-	-151/+113	-	-	-	-154/130	-	-
-3.2	120 ESPN	rutgers @ nebraska	Athan Kaliakmanis	pass_td	u 0.5	-146/+110	-	-165/+120	-145/+110	-	-	-	-
-3.2	-125 DK	pittsburgh @ north carolina		spread	o -1.5	-	-125/-106	-	-	-	-127/108	-	-
-3.2	-141 DK	kansas @ arizona state		total	o 48.5	-	-141/+106	-	-	-	-143/122	-	-
-3.2	-1000 DK	iowa @ ohio state		ml	u  	'+660/-1050	'+650/-1000	-	-	-	738/-1218	-	-
-3.2	-112 DK	indiana @ northwestern		total	o 41.0	-	-112/-108	-	-	-	-113/-103	-	-
-3.2	-134 DK	hawaii @ san diego state		total	u 50.0	-	'+101/-134	-	-	-	116/-136	-	-
-3.2	-140 DK	colorado state @ oregon state		total	u 50.0	-	'+105/-140	-	-	-	121/-142	-	-
-3.2	-145 DK	bowling green @ akron		spread	o -13.5	-	-145/+109	-	-	-	-148/125	-	-
-3.3	-345 FD	western michigan @ ball state		ml	o  	-345/+270	-345/+275	-	-	-	-368/291	-	-
-3.3	-118 FD	wake forest @ nc state		total	u 53.5	-104/-118	-106/-125	-	-	-	103/-121	-	-
-3.3	-115 FD	wake forest @ nc state		spread	o 4.5	-115/-105	-124/-107	-	-	-	-	-	-
-3.3	-184 FD	wake forest @ nc state		ml	u  	'+152/-184	'+160/-192	-	-	-	155/-180	-	-
-3.3	160 DK	wake forest @ nc state		ml	o  	'+152/-184	'+160/-192	-	-	-	155/-180	-	-
-3.3	260 DK	virginia tech @ stanford		ml	u  	-280/+225	-325/+260	-	-	-	-315/255	-	-
-3.3	130 DK	usc @ minnesota		home_total	o 21.5	-	'+130/-180	-	-	-	126/-149	-	-
-3.3	-126 DK	usc @ minnesota		spread	u -10.0	-	-105/-126	-	-	-	109/-127	-	-
-3.3	-112 DK	texas tech @ arizona		1h_total	u 31.5	-	-108/-112	-	-	-	-105/-115	-	-
-3.3	-112 DK	south alabama @ arkansas state		1h_total	u 30.5	-	-108/-112	-	-	-	-105/-115	-	-
-3.3	-111 DK	purdue @ wisconsin		total	u 45.0	-	-120/-111	-	-	-	-104/-112	-	-
-3.3	-110 DK	pittsburgh @ north carolina		total	u 64.0	-	-110/-110	-	-	-	-105/-111	-	-
-3.3	-112 DK	pittsburgh @ north carolina		1h_spread	u -1.5	-	-108/-112	-	-	-	-104/-114	-	-
-3.3	-105 FD	old dominion @ coastal carolina		spread	u 5.5	-115/-105	-112/-108	-	-	-	-	-	-
-3.3	-112 DK	old dominion @ coastal carolina		spread	o 5.5	-115/-105	-112/-108	-	-	-	-	-	-
-3.3	-108 DK	michigan @ washington		1q_total	o 7.5	-	-108/-112	-	-	-	-111/-109	-	-
-3.3	-138 DK	massachusetts @ northern illinois		total	o 40.5	-	-138/+104	-	-	-	-140/119	-	-
-3.3	-110 DK	james madison @ ul monroe		spread	u -15.5	-	-110/-110	-	-	-	-105/-111	-	-
-3.3	-125 FD	hawaii @ san diego state		ml	u  	'+104/-125	'+105/-125	-	-	-	112/-128	-	-
-3.3	-105 DK	bowling green @ akron		1q_total	o 10.5	-	-105/-115	-	-	-	-108/-112	-	-
-3.3	-110 DK	baylor @ iowa state		total	o 44.5	-	-110/-110	-	-	-	-111/-105	-	-
-3.3	-125 DK	baylor @ iowa state		home_total	u 29.5	-	-110/-125	-	-	-	108/-126	-	-
-3.3	-102 DK	army @ tulsa		1q_total	o 10.5	-	-102/-118	-	-	-	-105/-115	-	-
-3.4	-4000 DK	utah state @ boise state		ml	u  	'+1600/-4500	'+1600/-4000	-	-	-	1539/-3681	-	-
-3.4	220 DK	rutgers @ nebraska		ml	o  	'+198/-245	'+220/-270	-	-	-	214/-258	-	-
-3.4	-139 DK	navy @ air force		spread	u -12.0	-	'+105/-139	-	-	-	119/-141	-	-
-3.4	-115 FD	miami ohio @ toledo		total	o 43.5	-115/-105	-123/-108	-	-	-	-117/-100	-	-
-3.4	114 DK	kansas @ arizona state		1q_ml	o  	-	'+114/-135	-	-	-	111/-132	-	-
-3.4	-140 DK	james madison @ ul monroe		spread	o -13.5	-	-140/+105	-	-	-	-142/120	-	-
-3.4	-114 FD	iowa @ ohio state	Kaleb Johnson	rush_yd	o 80.5	-114/-114	-	-125/-110	-	-	-	-	-
-3.4	-151 DK	east carolina @ charlotte		spread	u -11.0	-	'+113/-151	-	-	-	129/-154	-	-
-3.4	-310 DK	east carolina @ charlotte		ml	o  	-315/+250	-310/+250	-	-	-	-326/262	-	-
-3.5	-142 DK	western michigan @ ball state		total	o 55.0	-	-142/+106	-	-	-	-143/122	-	-
-3.5	-114 FD	virginia tech @ stanford		spread	o -7.5	-114/-106	-122/-109	-	-	-	-115/-101	-	-
-3.5	-105 FD	tulane @ uab		total	o 54.5	-105/-115	-112/-119	-	-	-	-106/-110	-	-
-3.5	-520 DK	tennessee @ arkansas		ml	o  	-550/+400	-520/+390	-	-	-	-551/405	-	-
-3.5	-104 FD	smu @ louisville		spread	o 6.5	-104/-118	-105/-112	-	-	-	-	-	-
-3.5	-245 DK	smu @ louisville		ml	u  	'+202/-250	'+200/-245	-	-	-	208/-250	-	-
-3.5	-180 DK	miami ohio @ toledo		1q_ml	u  	-	'+150/-180	-	-	-	152/-185	-	-
-3.5	-142 DK	james madison @ ul monroe		total	o 46.0	-	-142/+107	-	-	-	-143/122	-	-
-3.5	-108 DK	indiana @ northwestern		spread	u -13.5	-105/-115	-112/-108	-	-	-	-112/-103	-	-
-3.5	-110 FD	east carolina @ charlotte		spread	u -8.5	-110/-110	-112/-119	-	-	-	-106/-109	-	-
-3.5	-110 DK	bowling green @ akron		spread	u -16.0	-	-110/-110	-	-	-	-105/-110	-	-
-3.5	-470 DK	baylor @ iowa state		ml	u  	'+365/-490	'+360/-470	-	-	-	373/-498	-	-
-3.5	-108 DK	army @ tulsa		spread	o -13.5	-122/+100	-108/-123	-	-	-	102/-117	-	-
-3.6	-112 DK	western michigan @ ball state		spread	o -9.5	-	-112/-108	-	-	-	-111/-103	-	-
-3.6	-139 DK	utah state @ boise state		total	u 68.0	-	'+104/-139	-	-	-	119/-140	-	-
-3.6	-131 DK	utah state @ boise state		total	u 67.5	-	-101/-131	-	-	-	112/-132	-	-
-3.6	-120 DK	ucf @ florida		ml	o  	-122/+102	-120/+100	-	-	-	-	-	-
-3.6	-125 DK	tulane @ uab		spread	o -17.0	-	-125/-107	-	-	-	-126/107	-	-
-3.6	-122 DK	texas tech @ arizona		1q_total	o 13.5	-	-122/+102	-	-	-	-125/103	-	-
-3.6	-345 DK	tennessee @ arkansas		1h_ml	o  	-	-345/+275	-	-	-	-361/278	-	-
-3.6	220 DK	nevada @ san jose state		ml	o  	'+198/-245	'+220/-270	-	-	-	215/-260	-	-
-3.6	-128 DK	navy @ air force		spread	o -9.0	-	-128/-104	-	-	-	-128/110	-	-
-3.6	114 FD	missouri @ texas a&m		ml	o  	'+114/-137	'+114/-135	-	-	-	112/-128	-	-
-3.6	-134 FD	kansas @ arizona state		ml	u  	'+112/-134	'+114/-135	-	-	-	116/-133	-	-
-3.6	-122 DK	army @ tulsa		1h_spread	o -6.5	-	-122/+102	-	-	-	-122/105	-	-
-3.6	-124 DK	army @ tulsa		spread	o -11.5	-	-124/-107	-	-	-	-125/106	-	-
-3.6	-154 FD	appalachian state @ marshall		ml	u  	'+128/-154	'+136/-162	-	-	-	128/-147	-	-
-3.7	-110 DK	western michigan @ ball state		total	o 57.0	-	-110/-110	-	-	-	-110/-106	-	-
-3.7	-126 DK	western michigan @ ball state		total	o 56.0	-	-126/-105	-	-	-	-126/108	-	-
-3.7	-110 DK	wake forest @ nc state		total	o 52.5	-	-110/-110	-	-	-	-110/-106	-	-
-3.7	-110 DK	usc @ minnesota		spread	u -9.0	-	-110/-110	-	-	-	-105/-109	-	-
-3.7	-108 DK	ucla @ penn state		total	u 46.5	-	-112/-108	-	-	-	-108/-108	-	-
-3.7	102 FD	ucf @ florida		ml	u  	-122/+102	-120/+100	-	-	-	-	-	-
-3.7	-110 DK	texas tech @ arizona		total	o 64.0	-	-110/-110	-	-	-	-110/-106	-	-
-3.7	-110 FD	texas tech @ arizona		spread	u 6.5	-110/-110	-108/-112	-	-	-	-	-	-
-3.7	-108 DK	texas tech @ arizona		spread	o 6.5	-110/-110	-108/-112	-	-	-	-	-	-
-3.7	-104 FD	tennessee @ arkansas		spread	u -13.5	-118/-104	-120/-111	-	-	-	-110/-104	-	-
-3.7	-112 FD	temple @ connecticut		total	o 49.5	-112/-108	-	-	-	-	-112/-104	-	-
-3.7	-110 DK	south alabama @ arkansas state		total	o 61.0	-	-110/-110	-	-	-	-110/-106	-	-
-3.7	-102 DK	purdue @ wisconsin		1h_total	o 23.5	-	-102/-118	-	-	-	-104/-116	-	-
-3.7	-108 DK	purdue @ wisconsin		spread	o 11.5	-110/-110	-108/-123	-	-	-	-	-	-
-3.7	-110 DK	pittsburgh @ north carolina		away_total	u 33.5	-	-125/-110	-	-	-	-106/-110	-	-
-3.7	-108 DK	old dominion @ coastal carolina		total	u 52.0	-	-112/-108	-	-	-	-108/-108	-	-
-3.7	-205 DK	nevada @ san jose state		1h_ml	u  	-	'+170/-205	-	-	-	172/-207	-	-
-3.7	-110 DK	navy @ air force		spread	o -10.0	-	-110/-110	-	-	-	-109/-105	-	-
-3.7	-380 DK	navy @ air force		ml	o  	-385/+300	-380/+300	-	-	-	-391/306	-	-
-3.7	105 DK	missouri @ texas a&m		1h_ml	o  	-	'+105/-125	-	-	-	104/-122	-	-
-3.7	-110 FD	kansas @ arizona state		total	o 50.5	-110/-110	-112/-108	-	-	-	-110/-106	-	-
-3.7	-108 DK	james madison @ ul monroe		total	o 48.0	-	-108/-112	-	-	-	-108/-108	-	-
-3.7	-108 FD	iowa @ ohio state		total	u 45.5	-112/-108	-110/-110	-	-	-	-108/-108	-	-
-3.7	-120 DK	hawaii @ san diego state		1q_ml	u  	-	'+100/-120	-	-	-	102/-121	-	-
-3.7	-110 DK	east carolina @ charlotte		spread	o -8.0	-	-110/-110	-	-	-	-110/-106	-	-
-3.7	-110 FD	duke @ georgia tech		spread	u 9.5	-110/-110	-108/-112	-	-	-	-	-	-
-3.7	-108 DK	duke @ georgia tech		spread	o 9.5	-110/-110	-108/-112	-	-	-	-	-	-
-3.7	-120 DK	colorado state @ oregon state		home_total	u 30.5	-	-115/-120	-	-	-	103/-120	-	-
-3.7	-110 FD	clemson @ florida state		total	o 46.5	-110/-110	-112/-108	-	-	-	-110/-106	-	-
-3.7	-112 DK	clemson @ florida state		1q_spread	u -3.5	-	-108/-112	-	-	-	-105/-113	-	-
-3.7	-145 DK	bowling green @ akron		total	u 53.5	-	'+109/-145	-	-	-	124/-145	-	-
-3.7	-108 DK	boston college @ virginia		total	u 52.0	-	-112/-108	-	-	-	-108/-108	-	-
-3.7	-108 DK	boston college @ virginia		spread	u 1.5	-110/-110	-112/-108	-	-	-	-	-	-
-3.7	-110 FD	boston college @ virginia		spread	o 1.5	-110/-110	-112/-108	-	-	-	-	-	-
-3.7	-137 DK	baylor @ iowa state		total	u 46.5	-	'+103/-137	-	-	-	117/-137	-	-
-3.7	-105 DK	army @ tulsa		1h_total	u 25.5	-	-115/-105	-	-	-	-113/-107	-	-
-3.7	-138 DK	alabama @ vanderbilt		total	o 52.0	-	-138/+104	-	-	-	-138/118	-	-
-3.7	-2100 DK	alabama @ vanderbilt		ml	o  	-2500/+1100	-2100/+1100	-	-	-	-2113/1079	-	-
-3.8	-129 DK	tulane @ uab		total	o 53.0	-	-129/-103	-	-	-	-129/110	-	-
-3.8	-118 DK	tennessee @ arkansas		1q_total	u 13.5	-	-102/-118	-	-	-	-101/-120	-	-
-3.8	-120 DK	south alabama @ arkansas state		1h_spread	o -0.5	-	-120/+100	-	-	-	-122/101	-	-
-3.8	-136 DK	pittsburgh @ north carolina		total	u 65.5	-	'+102/-136	-	-	-	116/-136	-	-
-3.8	-128 DK	pittsburgh @ north carolina		total	u 65.0	-	-104/-128	-	-	-	109/-128	-	-
-3.8	-125 DK	pittsburgh @ north carolina		1q_spread	u -0.5	-	'+105/-125	-	-	-	106/-126	-	-
-3.8	-136 DK	kansas @ arizona state		total	o 49.0	-	-136/+102	-	-	-	-136/116	-	-
-3.8	-123 DK	iowa @ ohio state		total	u 46.5	-	-108/-123	-	-	-	105/-123	-	-
-3.8	-120 DK	indiana @ northwestern		spread	u -14.0	-	-111/-120	-	-	-	103/-119	-	-
-3.8	-128 DK	hawaii @ san diego state		total	u 49.5	-	-104/-128	-	-	-	109/-128	-	-
-3.8	-144 DK	east carolina @ charlotte		spread	u -10.5	-	'+108/-144	-	-	-	122/-145	-	-
-3.8	-115 FD	duke @ georgia tech		total	u 53.5	-105/-115	-110/-121	-	-	-	-100/-117	-	-
-3.8	-2100 DK	auburn @ georgia		ml	u  	'+1100/-2500	'+1100/-2100	-	-	-	1046/-2015	-	-
-3.8	-130 DK	appalachian state @ marshall		1q_ml	u  	-	'+110/-130	-	-	-	110/-131	-	-
-3.8	-134 DK	alabama @ vanderbilt		spread	u -24.0	-	'+101/-134	-	-	-	114/-134	-	-
-3.8	700 DK	alabama @ vanderbilt		1h_ml	u  	-	-1100/+700	-	-	-	-845/536	-	-
-3.9	-132 DK	usc @ minnesota		total	u 50.5	-	-101/-132	-	-	-	112/-132	-	-
-3.9	102 DK	usc @ minnesota		1q_total	o 10.5	-	'+102/-122	-	-	-	100/-121	-	-
-3.9	-127 DK	tulane @ uab		spread	u -19.0	-	-105/-127	-	-	-	108/-127	-	-
-3.9	-112 DK	tulane @ uab		spread	o -17.5	-115/-105	-112/-108	-	-	-	-109/-106	-	-
-3.9	-175 DK	texas tech @ arizona		1q_ml	u  	-	'+145/-175	-	-	-	146/-178	-	-
-3.9	-114 FD	old dominion @ coastal carolina		total	u 52.5	-106/-114	-112/-118	-	-	-	-101/-116	-	-
-3.9	125 DK	old dominion @ coastal carolina		away_total	o 25.5	-	'+125/-175	-	-	-	123/-145	-	-
-3.9	-138 DK	navy @ air force		spread	o -8.0	-	-138/+103	-	-	-	-138/117	-	-
-3.9	-105 FD	army @ tulsa		total	u 50.5	-115/-105	-121/-110	-	-	-	-110/-106	-	-
-3.9	-115 FD	alabama @ vanderbilt		total	o 53.5	-115/-105	-122/-109	-	-	-	-114/-102	-	-
-4.0	140 ESPN	texas tech @ arizona	Noah Fifita	pass_td	o 2.5	'+134/-180	-	'+140/-200	'+125/-160	-	-	-	-
-4.0	250 DK	tennessee @ arkansas		1q_ml	u  	-	-310/+250	-	-	-	-293/227	-	-
-4.0	-128 DK	south alabama @ arkansas state		total	o 60.0	-	-128/-104	-	-	-	-127/109	-	-
-4.0	-140 DK	smu @ louisville		total	u 58.0	-	'+105/-140	-	-	-	119/-139	-	-
-4.0	-122 DK	pittsburgh @ north carolina		1q_ml	o  	-	-122/+102	-	-	-	-122/103	-	-
-4.0	-144 DK	missouri @ texas a&m		total	u 50.0	-	'+108/-144	-	-	-	122/-143	-	-
-4.0	-118 DK	michigan @ washington		ml	u  	'+100/-120	-102/-118	-	-	-	101/-116	-	-
-4.0	100 FD	michigan @ washington		ml	o  	'+100/-120	-102/-118	-	-	-	101/-116	-	-
-4.0	-136 DK	hawaii @ san diego state		spread	u -1.0	-	'+102/-136	-	-	-	115/-136	-	-
-4.0	-440 DK	clemson @ florida state		1h_ml	o  	-	-440/+340	-	-	-	-459/337	-	-
-4.0	-106 FD	bowling green @ akron		spread	u -15.5	-114/-106	-118/-112	-	-	-	-109/-105	-	-
-4.0	-140 DK	auburn @ georgia		total	u 54.0	-	'+105/-140	-	-	-	119/-139	-	-
-4.1	-112 DK	virginia tech @ stanford		1h_total	u 24.5	-	-108/-112	-	-	-	-107/-113	-	-
-4.1	-112 DK	virginia tech @ stanford		spread	o -8.0	-	-112/-108	-	-	-	-110/-104	-	-
-4.1	-113 DK	usc @ minnesota		spread	u -8.5	-102/-120	-118/-113	-	-	-	-109/-106	-	-
-4.1	-120 DK	ucla @ penn state		away_total	o 7.5	-	-120/-120	-	-	-	-119/102	-	-
-4.1	-112 DK	tennessee @ arkansas		total	u 57.0	-	-108/-112	-	-	-	-105/-111	-	-
-4.1	-137 DK	tennessee @ arkansas		total	o 55.0	-	-137/+103	-	-	-	-136/116	-	-
-4.1	-110 DK	south alabama @ arkansas state		1q_total	o 13.5	-	-110/-110	-	-	-	-111/-109	-	-
-4.1	110 DK	south alabama @ arkansas state		1q_ml	u  	-	-130/+110	-	-	-	-129/109	-	-
-4.1	-131 DK	smu @ louisville		total	u 57.5	-	-101/-131	-	-	-	111/-130	-	-
-4.1	-110 DK	smu @ louisville		total	o 56.0	-	-110/-110	-	-	-	-109/-107	-	-
-4.1	-112 DK	rutgers @ nebraska		total	u 40.0	-	-108/-112	-	-	-	-105/-111	-	-
-4.1	-118 FD	navy @ air force		total	u 37.5	-104/-118	-105/-127	-	-	-	-101/-116	-	-
-4.1	-135 DK	missouri @ texas a&m		total	u 49.5	-	'+102/-135	-	-	-	114/-134	-	-
-4.1	-110 DK	miami ohio @ toledo		total	o 44.0	-	-110/-110	-	-	-	-109/-107	-	-
-4.1	-112 DK	massachusetts @ northern illinois		total	o 42.0	-	-112/-108	-	-	-	-111/-105	-	-
-4.1	-130 DK	massachusetts @ northern illinois		total	o 41.0	-	-130/-103	-	-	-	-129/110	-	-
-4.1	-575 DK	massachusetts @ northern illinois		1h_ml	u  	-	'+425/-575	-	-	-	419/-606	-	-
-4.1	-800 DK	louisiana @ southern miss		ml	o  	-820/+550	-800/+550	-	-	-	-	-	-
-4.1	-115 DK	james madison @ ul monroe		1h_total	u 24.5	-	-105/-115	-	-	-	-104/-116	-	-
-4.1	-110 DK	james madison @ ul monroe		1q_spread	u -3.5	-	-110/-110	-	-	-	-108/-110	-	-
-4.1	-110 DK	iowa @ ohio state		total	o 45.5	-112/-108	-110/-110	-	-	-	-108/-108	-	-
-4.1	-112 DK	hawaii @ san diego state		total	u 48.5	-	-108/-112	-	-	-	-105/-111	-	-
-4.1	-120 DK	hawaii @ san diego state		home_total	u 24.5	-	-115/-120	-	-	-	102/-119	-	-
-4.1	-142 DK	east carolina @ charlotte		total	o 45.0	-	-142/+106	-	-	-	-141/120	-	-
-4.1	-135 DK	duke @ georgia tech		total	u 54.5	-	'+101/-135	-	-	-	114/-134	-	-
-4.1	-112 DK	duke @ georgia tech		total	u 53.0	-	-108/-112	-	-	-	-105/-111	-	-
-4.1	-111 DK	colorado state @ oregon state		spread	o 10.5	-112/-108	-111/-120	-	-	-	-	-	-
-4.1	-455 DK	bowling green @ akron		1h_ml	o  	-	-455/+350	-	-	-	-472/345	-	-
-4.1	-131 DK	auburn @ georgia		total	u 53.5	-	-101/-131	-	-	-	111/-130	-	-
-4.1	-110 DK	auburn @ georgia		total	o 52.0	-	-110/-110	-	-	-	-109/-107	-	-
-4.1	-141 DK	appalachian state @ marshall		total	u 60.0	-	'+106/-141	-	-	-	119/-140	-	-
-4.1	-142 DK	appalachian state @ marshall		total	o 56.0	-	-142/+106	-	-	-	-141/120	-	-
-4.1	-110 DK	alabama @ vanderbilt		total	u 54.0	-	-110/-110	-	-	-	-107/-109	-	-
-4.2	-120 DK	western michigan @ ball state		spread	o -9.0	-	-120/-111	-	-	-	-118/102	-	-
-4.2	-134 DK	virginia tech @ stanford		spread	u -10.0	-	'+101/-134	-	-	-	113/-133	-	-
-4.2	-105 DK	texas tech @ arizona		away_total	o 28.5	-	-105/-130	-	-	-	-104/-112	-	-
-4.2	-107 DK	rutgers @ nebraska		spread	o 6.5	-108/-112	-107/-124	-	-	-	-	-	-
-4.2	-114 FD	ole miss @ south carolina	Jaxson Dart	pass_yd	o 284.5	-114/-114	-	-	-120/-110	-	-	-	-
-4.2	-108 DK	navy @ air force		total	o 37.0	-	-108/-112	-	-	-	-107/-109	-	-
-4.2	-134 DK	navy @ air force		spread	u -11.5	-	'+101/-134	-	-	-	113/-133	-	-
-4.2	-145 DK	miami ohio @ toledo		total	o 42.0	-	-145/+108	-	-	-	-144/122	-	-
-4.2	-108 DK	kansas @ arizona state		total	u 50.5	-110/-110	-112/-108	-	-	-	-110/-106	-	-
-4.2	-129 DK	indiana @ northwestern		spread	o -12.5	-	-129/-103	-	-	-	-128/109	-	-
-4.2	-133 DK	indiana @ northwestern		spread	o -12.0	-	-133/+100	-	-	-	-132/112	-	-
-4.2	-105 DK	east carolina @ charlotte		away_total	u 27.5	-	-135/-105	-	-	-	-112/-104	-	-
-4.2	-108 DK	colorado state @ oregon state		total	o 48.0	-	-108/-112	-	-	-	-107/-109	-	-
-4.2	-108 DK	clemson @ florida state		total	u 46.5	-110/-110	-112/-108	-	-	-	-110/-106	-	-
-4.2	-142 DK	clemson @ florida state		total	o 44.5	-	-142/+106	-	-	-	-140/120	-	-
-4.2	-108 DK	bowling green @ akron		total	u 51.0	-	-112/-108	-	-	-	-109/-107	-	-
-4.2	-102 DK	boston college @ virginia		1q_ml	o  	-	-102/-118	-	-	-	-102/-116	-	-
-4.2	-355 DK	army @ tulsa		1h_ml	o  	-	-355/+280	-	-	-	-361/278	-	-
-4.2	102 DK	appalachian state @ marshall		total	u 56.5	-110/-110	-136/+102	-	-	-	-132/113	-	-
-4.3	-110 DK	western michigan @ ball state		1h_spread	o -5.5	-	-110/-110	-	-	-	-110/-109	-	-
-4.3	-192 DK	virginia tech @ stanford		1q_ml	o  	-	-192/+160	-	-	-	-193/158	-	-
-4.3	-230 DK	virginia tech @ stanford		1h_ml	o  	-	-230/+190	-	-	-	-229/188	-	-
-4.3	-140 DK	texas tech @ arizona		total	o 62.0	-	-140/+105	-	-	-	-138/118	-	-
-4.3	-140 DK	south alabama @ arkansas state		total	u 63.0	-	'+105/-140	-	-	-	118/-138	-	-
-4.3	-130 DK	south alabama @ arkansas state		1q_ml	o  	-	-130/+110	-	-	-	-129/109	-	-
-4.3	-145 MGM	rutgers @ nebraska	Athan Kaliakmanis	pass_td	o 0.5	-146/+110	-	-165/+120	-145/+110	-	-	-	-
-4.3	-175 DK	old dominion @ coastal carolina		1q_ml	u  	-	'+145/-175	-	-	-	145/-175	-	-
-4.3	115 DK	navy @ air force		home_total	o 13.5	-	'+115/-160	-	-	-	115/-134	-	-
-4.3	-106 FD	louisiana @ southern miss		spread	u -16.5	-114/-106	-119/-112	-	-	-	-	-	-
-4.3	114 DK	kansas @ arizona state		ml	o  	'+112/-134	'+114/-135	-	-	-	116/-133	-	-
-4.3	-125 DK	hawaii @ san diego state		1h_ml	u  	-	'+105/-125	-	-	-	106/-123	-	-
-4.3	-115 FD	east carolina @ charlotte		total	u 47.5	-105/-115	-109/-121	-	-	-	-104/-113	-	-
-4.3	-134 DK	east carolina @ charlotte		total	o 45.5	-	-134/+101	-	-	-	-132/113	-	-
-4.3	-134 DK	colorado state @ oregon state		total	u 49.5	-	'+101/-134	-	-	-	113/-132	-	-
-4.3	-135 DK	clemson @ florida state		total	o 45.0	-	-135/+101	-	-	-	-133/114	-	-
-4.3	-112 DK	clemson @ florida state		spread	u -15.0	-	-108/-112	-	-	-	-105/-110	-	-
-4.3	-140 DK	bowling green @ akron		total	u 53.0	-	'+106/-140	-	-	-	118/-138	-	-
-4.3	-136 DK	bowling green @ akron		spread	o -14.0	-	-136/+102	-	-	-	-135/114	-	-
-4.3	-121 DK	army @ tulsa		spread	o -12.0	-	-121/-110	-	-	-	-120/102	-	-
-4.3	-130 DK	alabama @ vanderbilt		total	o 52.5	-	-130/-102	-	-	-	-128/110	-	-
-4.3	-110 FD	alabama @ vanderbilt		spread	u -22.5	-110/-110	-110/-110	-	-	-	-107/-108	-	-
-4.4	-128 DK	wake forest @ nc state		total	o 51.5	-	-128/-104	-	-	-	-126/108	-	-
-4.4	100 DK	virginia tech @ stanford		1h_spread	o -4.5	-	'+100/-120	-	-	-	-100/-119	-	-
-4.4	-126 DK	usc @ minnesota		total	u 50.0	-	-105/-126	-	-	-	106/-124	-	-
-4.4	215 DK	usc @ minnesota		1h_ml	u  	-	-265/+215	-	-	-	-250/203	-	-
-4.4	100 DK	tulane @ uab		1h_spread	u -9.5	-	-120/+100	-	-	-	-119/-100	-	-
-4.4	-127 DK	tennessee @ arkansas		total	o 55.5	-	-127/-104	-	-	-	-125/107	-	-
-4.4	-138 DK	pittsburgh @ north carolina		total	o 62.0	-	-138/+104	-	-	-	-136/116	-	-
-4.4	-105 FD	pittsburgh @ north carolina		spread	u -2.5	-115/-105	-112/-108	-	-	-	-114/-100	-	-
-4.4	164 DK	old dominion @ coastal carolina		1h_ml	o  	-	'+164/-198	-	-	-	159/-191	-	-
-4.4	-104 FD	nevada @ san jose state		total	o 51.5	-104/-118	-110/-121	-	-	-	-103/-113	-	-
-4.4	-300 MGM	navy @ air force	Blake Horvath	pass_td	u 1.5	'+235/-310	-	-	'+230/-300	-	-	-	-
-4.4	-115 FD	miami florida @ california		total	o 53.5	-115/-105	-	-	-	-	-113/-103	-	-
