EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	Bet365
-20.3	-20.3	195 PB	sakkari @ kerber	set1_spread	u 1.5	-	-	-	-	-299/195	-292/240	-	-
-20.7	-15.8	175 FD	sabalenka @ kasatkina	spread	o -7.5	'+175/-260	-	-	-	-	209/-240	220/-315	-
-20.8	-	295 PB	tiafoe @ shang	set2_total	u 8.5	-500/+270	-	-	-	-475/295	-	-	-
-21.3	-	290 FD	tsitsipas @ zverev	spread	u 4.5	-440/+290	-	-	-	-	-	-455/310	-
-21.3	-	550 DK	nadal @ thompson	set1_total	u 7.5	-910/+450	-1400/+550	-	-	-	-	-	-
-21.5	-20.7	650 FD	sakkari @ kerber	set1_total	o 12.5	'+650/-2000	'+500/-1100	-	-	-	662/-941	-	-
-21.6	-21.6	210 PB	sakkari @ kerber	set1_spread	o -3.5	-	-	-	-	210/-325	261/-320	-	-
-21.9	-	144 FD	sakkari @ kerber	total	o 24.5	'+144/-200	-	-	-	-	-	175/-245	-
-22.9	-	200 FD	nadal @ thompson	spread	o -6.5	'+200/-310	-	-	-	-	-	230/-335	-
-23.6	-	240 FD	tiafoe @ shang	spread	o -5.5	'+240/-370	-	-	-	-	-	270/-400	-
-25.1	-	390 PB	rublev @ fils	set2_total	u 8.5	-715/+340	-	-	-	-700/390	-	-	-
-25.3	-	165 FD	rublev @ fils	spread	u -1.5	-250/+165	-	-	-	-	-	-295/205	-
-25.9	-	560 FD	mansouri @ brockmann	ml	u 	-950/+560	-	-1000/450	-	-1000/500	-	-	-
-27.1	-	166 FD	hijikata @ dimitrov	total	u 18.5	-230/+166	-	-	-	-	-	-305/215	-
-27.7	-28.9	800 FD	sabalenka @ kasatkina	set1_total	o 12.5	'+800/-3334	'+500/-1200	625/-2000	-	-	865/-1310	-	-
-28.1	-19.1	500 MGM	tiafoe @ shang	set_spread	u 1.5	-	-	-1100/500	-	-1000/500	-691/549	-910/575	-
-28.3	-	250 FD	hijikata @ dimitrov	spread	o 2.5	'+250/-390	-	-	-	-	-	295/-455	-
-30.1	-	700 FD	majchrzak @ simakin	ml	u 	-1300/+700	-	-1400/550	-	-1250/650	-	-	-
-30.3	-24.8	525 PB	rublev @ fils	set_spread	u 1.5	-	-	-1000/475	-	-1110/525	-799/600	-1000/650	-
-30.3	-	630 FD	collignon @ fearnley	set1_ml	o 	'+630/-1400	'+550/-1200	-	-	-	-	-	-
-30.7	-	630 FD	fuele @ nadaf	ml	u 	-1400/+630	-	-1200/525	-	-1199/600	-	-	-
-30.9	-	200 FD	sakkari @ kerber	spread	o -6.5	'+200/-320	-	-	-	-	-	265/-385	-
-32.6	-	850 FD	tiafoe @ shang	set1_total	u 7.5	-5000/+850	-1800/+600	-	-	-	-	-	-
-34.5	-16.7	1000 BV	nadal @ thompson	set_spread	u 1.5	-	-	-2500/775	-2500/+1000	-2500/775	-1335/966	-2000/1050	-
-34.8	-	220 FD	hijikata @ dimitrov	spread	u 6.5	-340/+220	-	-	-	-	-	-455/300	-
-35.7	-	900 FD	rublev @ fils	set1_total	u 7.5	-10000/+900	-2000/+650	-	-	-	-	-	-
-37.2	-	500 DK	hijikata @ dimitrov	set1_total	u 7.5	-1112/+480	-1100/+500	-	-	-	-	-	-
-41.9	-23.8	1000 BV	hijikata @ dimitrov	set_spread	o -1.5	-	-	775/-2500	'+1000/-2500	850/-3333	1049/-1475	1150/-2500	-
-42.3	-	600 DK	sakkari @ kerber	6-0	o 	-	'+600/-1800	-	-	550/-1499	-	-	-
-46.3	-	900 BV	nadal @ thompson	6-0	o 	-	'+700/-2500	-	'+900/-2000	-	-	-	-
-48.3	-	920 FD	collignon @ fearnley	ml	o 	'+920/-3500	'+850/-2500	-	-	-	-	-	-
-48.8	-48.8	500 PB	tsitsipas @ zverev	set1_spread	u 3.5	-	-	-	-	-1250/500	-1202/807	-	-
-50.7	-50.7	550 PB	sakkari @ kerber	set1_spread	u 3.5	-	-	-	-	-1499/550	-1373/898	-	-
-50.9	-41.3	900 MGM	sabalenka @ kasatkina	set_spread	u 1.5	-	-	-5000/900	-	-3333/850	-1766/1219	-2500/1200	-
-56.6	-42.6	850 FD	sabalenka @ kasatkina	set1_total	u 6.5	-5000/+850	-6000/+850	-	-	-	-1766/1093	-	-
-57.5	-57.5	1000 FD	sakkari @ kerber	set1_total	u 6.5	-10000/+1000	-	-	-	-	-2876/1584	-	-
-64.1	-64.1	700 PB	tsitsipas @ zverev	set1_spread	o -3.5	-	-	-	-	700/-2500	1404/-2448	-	-
-71.0	-	1000 FD	tsitsipas @ zverev	set1_total	u 7.5	-10000/+1000	-6000/+850	-	-	-	-	-	-
