EV	PN EV	EV Book	Game	Prop	O/U	FD	DK	MGM	BV	PB	PN	Kambi	Bet365
-3.6	-	-155 PB	sakkari @ kerber	set1_total	u 9.5	'+125/-179	'+120/-170	-	-	116/-155	-	-	-
-3.6	-4.9	-130 BV	hijikata @ dimitrov	total	u 21.5	'+106/-140	-	110/-155	100/-130	105/-140	110/-124	104/-132	-
-3.7	-	-192 FD	tiafoe @ shang	total	u 25.5	'+142/-192	-	-	-	-	-	155/-210	-
-3.7	-5.1	-225 DK	tiafoe @ shang	set1_ml	o 	-250/+182	-225/+180	-275/180	-	-250/180	-215/181	-240/188	-
-3.7	-3.7	-1499 PB	sakkari @ kerber	set1_spread	o 3.5	-	-	-	-	-1499/550	-1373/898	-	-
-3.7	-3.7	-220 FD	reguer @ rowinska	set1_ml	u 	'+168/-220	-	-	-	-	179/-237	-	-
-3.7	-	-110 FD	boehner / zhabrailova @ nagata / okuwaki	ml	o 	-110/-116	-	-125/-120	-	-	-	-	-
-3.8	-	-180 FD	tsitsipas @ zverev	total	u 26.5	'+132/-180	-	-	-	-	-	145/-195	-
-3.9	-7.0	-105 DK	taguchi @ matsuda	ml	u 	-118/-108	-125/-105	-130/-110	-	-	-124/-103	-106/-130	-
-3.9	-5.7	-115 PB	sakkari @ kerber	total	o 20.5	-132/-102	-	-	-	-115/-115	-108/-104	-117/-109	-
-3.9	-3.9	115 BV	hijikata @ dimitrov	spread	u 5.0	-	-	-	-150/+115	-	-131/116	-	-
-4.0	-2.7	-425 DK	tiafoe @ shang	set1_total	o 8.5	-625/+315	-425/+260	-500/290	-	-500/310	-448/353	-	-
-4.0	-3.2	110 MGM	hijikata @ dimitrov	total	o 21.5	'+106/-140	-	110/-155	100/-130	105/-140	110/-124	104/-132	-
-4.0	-	-390 FD	hijikata @ dimitrov	spread	u 2.5	'+250/-390	-	-	-	-	-	295/-455	-
-4.0	-4.4	-122 FD	forejtek @ collignon	set1_ml	u 	-108/-122	-105/-135	-	-	-	-102/-127	-	-
-4.1	-4.5	-110 PB	sakkari @ kerber	set_spread	u -1.5	-	-	-	-	-120/-110	-106/-106	-110/-115	-
-4.1	-4.1	-325 PB	sakkari @ kerber	set1_spread	u -3.5	-	-	-	-	210/-325	261/-320	-	-
-4.1	-4.4	120 MGM	rublev @ fils	total	o 23.5	'+104/-136	-	120/-165	-	116/-155	121/-139	117/-150	-
-4.2	-6.1	118 FD	tsitsipas @ zverev	total	u 22.5	-158/+118	-	-	-	-145/112	-140/124	-137/107	-
-4.2	-4.1	-132 FD	sakkari @ kerber	total	u 21.5	-104/-132	-	-	-	108/-140	114/-128	106/-136	-
-4.2	-	130 FD	sakkari @ kerber	set2_total	o 9.5	'+130/-193	-	-	-	120/-160	-	-	-
-4.2	-	220 DK	rublev @ fils	set2_ml	u 	-245/+178	-280/+220	-275/190	-	-275/195	-	-275/215	-
-4.2	-3.8	-385 FD	rublev @ fils	set1_total	u 12.5	'+230/-385	'+280/-475	270/-450	-	295/-475	306/-393	-	-
-4.2	-	-400 PB	hijikata @ dimitrov	set2_total	u 10.5	'+290/-527	-	-	-	255/-400	-	-	-
-4.2	-	-420 FD	hijikata @ dimitrov	set2_ml	u 	'+280/-420	'+320/-425	300/-500	-	295/-450	-	350/-480	-
-4.2	-5.6	-182 FD	bertimon @ bax	set1_ml	u 	'+142/-182	'+150/-205	-	-	-	141/-183	-	-
-4.3	-3.7	-175 MGM	tiafoe @ shang	spread	u -4.5	'+130/-195	-	125/-175	-	138/-185	151/-171	143/-190	-
-4.3	-	-300 PB	tiafoe @ shang	set2_total	u 10.5	'+220/-385	-	-	-	205/-300	-	-	-
-4.3	-4.3	-299 PB	sakkari @ kerber	set1_spread	o 1.5	-	-	-	-	-299/195	-292/240	-	-
-4.3	-4.3	-235 DK	sakkari @ kerber	set1_ml	o 	-275/+198	-235/+190	-	-	-250/185	-230/193	-225/175	-
-4.3	-7.9	-132 FD	sabalenka @ kasatkina	spread	u -6.5	'+100/-132	-	100/-145	-	105/-140	104/-117	118/-152	-
-4.3	-4.5	-380 FD	hijikata @ dimitrov	set1_ml	u 	'+280/-380	'+320/-425	260/-400	-	285/-425	295/-365	295/-400	-
-4.3	-4.1	-125 FD	forejtek @ collignon	ml	u 	-106/-125	-105/-130	-105/-140	-	-	101/-131	100/-134	-
-4.4	-	-112 FD	sakkari @ kerber	home_total	o 10.5	-112/-118	-120/-115	-	-	-	-	-	-
-4.4	-	-525 DK	sabalenka @ kasatkina	set2_ml	o 	-650/+390	-525/+380	-600/340	-	-550/350	-	-590/420	-
-4.4	-3.3	-575 DK	sabalenka @ kasatkina	set1_total	u 10.5	'+400/-910	'+320/-575	360/-650	-	-	446/-587	-	-
-4.4	-6.3	-104 FD	rublev @ fils	spread	o -3.5	-104/-128	-	-110/-125	-	-110/-120	102/-117	-113/-112	-
-4.4	-4.4	105 BV	nadal @ thompson	total	u 20.0	-	-	-	-135/+105	-	-121/108	-	-
-4.4	-2.6	-175 MGM	hijikata @ dimitrov	spread	o 5.5	-175/+115	-	-175/125	-	-180/134	-176/156	-205/155	-
-4.5	-4.5	-112 FD	tsitsipas @ zverev	away_total	u 12.5	-118/-112	-	-	-	-	-106/-110	-	-
-4.5	-	-139 FD	tiafoe @ shang	set2_total	o 9.5	-139/+100	-	-	-	-150/108	-	-	-
-4.5	-4.7	-1100 DK	sakkari @ kerber	set1_total	u 12.5	'+650/-2000	'+500/-1100	-	-	-	662/-941	-	-
-4.5	-6.1	-152 FD	sabalenka @ kasatkina	set1_total	o 8.5	-152/+100	-190/+130	-165/115	-	-155/112	-143/122	-	-
-4.5	-	-112 FD	krom / orlov @ biryukov / simakin	ml	o 	-112/-112	-	-125/-120	-	-	-	-	-
-4.5	-4.5	-110 FD	hijikata @ dimitrov	away_total	o 8.5	-110/-120	-	-	-	-	-108/-108	-	-
-4.5	-4.9	-165 MGM	erel @ storrie	ml	o 	-180/+134	-180/+130	-165/115	-	-	-171/130	-175/125	-
-4.6	-	-115 DK	tiafoe @ shang	home_total	o 10.5	-120/-110	-115/-120	-	-	-	-	-	-
-4.6	-4.3	170 PB	sakkari @ kerber	total_sets	o 2.5	'+138/-186	'+165/-230	-	-	170/-230	170/-192	165/-215	-
-4.6	-	-2000 DK	rublev @ fils	set1_total	o 7.5	-10000/+900	-2000/+650	-	-	-	-	-	-
-4.6	-2.8	225 MGM	hijikata @ dimitrov	total_sets	o 2.5	'+184/-260	'+210/-300	225/-350	'+200/-275	-	216/-248	210/-275	-
-4.6	-7.5	265 DK	hijikata @ dimitrov	set1_total	u 8.5	-334/+200	-425/+265	-350/210	-	-325/215	-319/260	-	-
