NAME	POS	ML	A/H	TEAM	OPP	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L5 % OVER	LAST 7 GAMES ➡️	OVER	UNDER
Braeden Smith	G	'+675	A	COLG	TEX	pts	10.5	11.9	11.88 - 11.75	12.38 - 11.39	53%	60%	11,9,19,11,7,12,20,4,4,9	'+110	-145
Braeden Smith	G	'+675	A	COLG	TEX	reb	3.5	3.9	3.77 - 4.12	3.44 - 4.22	47%	60%	6,4,6,3,1,4,3,6,6,2	-150	'+115
Brandon Miller	F	-12500	H	ALA	AMCC	3ptm	2.5	3.0	3.03 - 3.0	2.69 - 3.24	59%	60%	4,3,4,2,1,1,6,3,3,0	-180	'+135
Brandon Miller	F	-12500	H	ALA	AMCC	reb	8.5	8.3	8.28 - 8.4	8.15 - 8.38	44%	80%	12,12,9,10,8,6,8,3,10,6	-125	-105
Brandon Miller	F	-12500	H	ALA	AMCC	ast	2.5	2.1	2.1 - 1.8	1.69 - 2.29	44%	60%	4,4,5,2,2,0,1,1,0,3	'+105	-140
Brandon Miller	F	-12500	H	ALA	AMCC	pts	20.5	19.6	19.62 - 19.8	18.38 - 20.43	35%	20%	23,20,18,19,17,24,41,21,15,13	-125	-105
Caden Pierce	F	'+700	A	PRIN	ARIZ	3ptm	1.5	1.3	1.24 - 1.38	1.21 - 1.33	38%	80%	2,2,3,1,2,0,3,1,1,0	-155	'+115
Caden Pierce	F	'+700	A	PRIN	ARIZ	reb	8.5	7.1	7.86 - 5.12	6.64 - 7.53	34%	60%	10,12,10,8,7,9,5,8,10,5	'+105	-140
Caden Pierce	F	'+700	A	PRIN	ARIZ	ast	1.5	1.2	1.1 - 1.62	1.29 - 1.2	34%	20%	1,4,1,1,0,2,4,0,1,1	'+155	-210
Caden Pierce	F	'+700	A	PRIN	ARIZ	pts	9.5	8.3	9.0 - 6.62	7.36 - 9.27	31%	60%	12,14,17,9,6,9,12,3,13,2	-110	-120
Camren Wynter	G	'+130	A	PSU	TA&M	ast	2.5	2.0	2.36 - 1.38	1.82 - 2.17	40%	40%	4,3,1,1,1,3,3,1,5,0	-175	'+130
Camren Wynter	G	'+130	A	PSU	TA&M	pts	10.5	8.9	9.55 - 7.92	8.94 - 8.94	37%	40%	14,7,3,18,6,24,16,18,14,4	-120	-110
Camren Wynter	G	'+130	A	PSU	TA&M	reb	3.5	2.9	3.36 - 2.08	2.88 - 2.89	31%	60%	4,1,6,5,3,4,4,6,4,2	-115	-115
Camren Wynter	G	'+130	A	PSU	TA&M	3ptm	1.5	1.0	1.05 - 0.92	1.06 - 0.94	26%	0%	1,1,0,0,0,4,3,4,2,0	'+180	-250
Carlos Jurgens	G	'+225	A	ORU	DUKE	ast	1.5	2.4	2.37 - 2.25	2.13 - 2.53	59%	40%	0,1,0,2,3,1,0,2,4,1	'+125	-170
Carlos Jurgens	G	'+225	A	ORU	DUKE	pts	8.5	9.2	9.33 - 8.25	9.4 - 9.05	47%	60%	5,7,21,12,15,10,14,7,21,4	-110	-120
Carlos Jurgens	G	'+225	A	ORU	DUKE	reb	4.5	4.1	4.13 - 3.75	4.8 - 3.53	35%	60%	5,3,5,4,10,4,3,2,7,2	'+100	-135
Carlos Jurgens	G	'+225	A	ORU	DUKE	3ptm	1.5	1.0	1.1 - 0.5	1.0 - 1.05	26%	40%	1,1,2,1,3,1,0,1,2,1	'+120	-160
Cedric Henderson Jr	G	-1050	H	ARIZ	PRIN	3ptm	0.5	1.1	1.18 - 0.67	0.82 - 1.22	65%	60%	0,2,3,0,1,2,1,1,2,3	-215	'+155
Cedric Henderson Jr	G	-1050	H	ARIZ	PRIN	ast	1.5	1.1	1.18 - 0.83	1.0 - 1.17	29%	40%	2,0,3,1,1,1,0,2,2,2	'+160	-215
Cedric Henderson Jr	G	-1050	H	ARIZ	PRIN	reb	4.5	3.5	3.61 - 2.83	3.73 - 3.35	26%	20%	1,5,3,1,4,1,1,5,5,8	'+115	-150
Cedric Henderson Jr	G	-1050	H	ARIZ	PRIN	pts	11.5	8.3	8.61 - 6.67	6.0 - 9.35	24%	40%	2,14,23,2,7,19,15,9,12,11	-105	-125
Chase Audige	G	-125	H	NU	BOIS	pts	11.5	13.8	15.33 - 10.91	13.0 - 14.24	62%	20%	6,8,6,16,7,7,14,15,12,11	-125	-110
Chase Audige	G	-125	H	NU	BOIS	3ptm	1.5	1.9	2.24 - 1.36	1.82 - 2.0	53%	20%	0,1,1,2,1,1,4,3,3,1	-115	-115
Chase Audige	G	-125	H	NU	BOIS	ast	2.5	2.8	3.24 - 1.91	3.18 - 2.57	50%	40%	2,3,3,1,2,2,2,2,4,3	'+125	-170
Chase Audige	G	-125	H	NU	BOIS	reb	3.5	3.4	3.57 - 3.0	3.73 - 3.19	44%	60%	4,6,5,2,3,4,1,2,3,7	-170	'+130
Chibuzo Agbo	G	'+105	A	BOIS	NU	3ptm	1.5	1.9	2.04 - 1.67	2.5 - 1.53	58%	60%	1,3,4,0,4,2,0,2,0,0	-130	-105
Chibuzo Agbo	G	'+105	A	BOIS	NU	ast	0.5	0.8	0.88 - 0.67	0.79 - 0.84	55%	80%	1,2,1,0,1,0,1,0,0,0	-205	'+150
