Player	Prop	AVG	draftkings	fanduel	cz	bet365	kambi	mgm	fpros	yahoo
	rec_yd	167.6	-	-	-	-	-	-	167.6	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Alvin Kamara
152.3 FPTS	rush_att	204.7	-	-	-	-	-	-	204.7	-
4.09 ADP	rush_yd	668.6	o625.5 -110/-110	o650.5 -112/-112	o650.5 -115/-115	o650.5 -110/-110	o650.5 100/-124	o650.5 -110/-110	802.4	-
	rush_td	4.6	o4.5 -110/-110	o4.5 +102/-130	o4.5 100/-130	o4.5 -105/-115	o4.5 -112/-112	o4.5 -105/-115	5.3	-
	rec	65.8	-	-	-	-	o65.5 -112/-112	-	66.0	-
	rec_yd	446.4	-	-	-	-	o425.5 100/-124	-	467.3	-
	rec_td	2.2	-	-	-	-	-	-	2.2	-

Aaron Jones
147.11 FPTS	rush_att	189.3	-	-	-	-	-	-	189.3	-
5.05 ADP	rush_yd	749.6	o750.5 -105/-115	o725.5 -112/-112	o700.5 -115/-115	o750.5 -110/-110	o700.5 -112/-112	o750.5 -105/-115	869.1	-
	rush_td	4.9	o5.5 +110/-135	o5.5 +112/-142	o4.5 100/-130	o4.5 -130/+100	o4.5 -112/-112	o4.5 -115/-105	5.5	-
	rec	42.8	-	-	-	-	-	-	42.8	-
	rec_yd	313.5	-	-	-	-	-	-	313.5	-
	rec_td	1.9	-	-	-	-	-	-	1.9	-

James Conner
146.62 FPTS	rush_att	201.6	-	-	-	-	-	-	201.6	-
5.07 ADP	rush_yd	782.0	-	o775.5 -112/-112	o725.5 -115/-115	o775.5 -110/-110	o750.5 -112/-112	-	882.9	-
	rush_td	6.3	-	o6.5 +102/-130	o6.5 110/-140	o6.5 +105/-135	o5.5 -130/105	-	6.7	-
	rec	32.6	-	-	-	-	-	-	32.6	-
	rec_yd	222.2	-	-	-	-	-	-	222.2	-
	rec_td	1.4	-	-	-	-	-	-	1.4	-

Najee Harris
145.72 FPTS	rush_att	237.2	-	-	-	-	-	-	237.2	-
6.07 ADP	rush_yd	856.4	-	o800.5 -112/-112	-	o850.5 -110/-110	-	o825.5 -110/-110	949.0	-
	rush_td	5.8	-	o5.5 -118/-108	-	o5.5 -115/-105	-	o5.5 -140/115	6.6	-
	rec	28.6	-	-	-	-	-	-	28.6	-
	rec_yd	180.8	-	-	-	-	-	-	180.8	-
	rec_td	1.2	-	-	-	-	-	-	1.2	-

Raheem Mostert
143.0 FPTS	rush_att	168.7	-	-	-	-	-	-	168.7	-
6.12 ADP	rush_yd	692.8	o675.5 -115/-115	o650.5 -112/-112	o675.5 -115/-115	o675.5 -110/-110	-	o675.5 -110/-120	804.1	-
	rush_td	8.0	o7.5 +100/-120	o7.5 +112/-142	o8.5 135/-170	o7.5 +110/-140	-	o8.5 125/-150	8.5	-
	rec	25.4	-	-	-	-	-	-	25.4	-
	rec_yd	179.2	-	-	-	-	-	-	179.2	-
	rec_td	1.3	-	-	-	-	-	-	1.3	-

Rhamondre Stevenson
140.69 FPTS	rush_att	208.9	-	-	-	-	-	-	208.9	-
5.08 ADP	rush_yd	794.7	-	o775.5 -112/-112	o775.5 -115/-115	o775.5 -110/-110	o775.5 100/-124	-	871.3	-
	rush_td	4.7	-	o4.5 -146/+114	o4.5 -115/-115	o4.5 -130/+100	o4.5 -139/113	-	5.6	-
	rec	41.0	-	-	-	-	-	-	41.0	-
	rec_yd	282.2	-	-	-	-	-	-	282.2	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Zamir White
138.97 FPTS	rush_att	235.3	-	-	-	-	-	-	235.3	-
6.10 ADP	rush_yd	823.8	o800.5 -105/-120	o800.5 -112/-112	o800.5 -115/-115	o825.5 +100/-130	o800.5 100/-124	o750.5 -150/125	988.6	-
	rush_td	4.8	o4.5 -125/+105	o5.5 +142/-182	o4.5 -150/120	o4.5 -135/+105	o4.5 -106/-118	o4.5 -125/105	5.8	-
	rec	32.9	-	-	-	-	-	-	32.9	-
	rec_yd	229.9	-	-	-	-	-	-	229.9	-
	rec_td	0.8	-	-	-	-	-	-	0.8	-

Dandre Swift
138.56 FPTS	rush_att	178.3	-	-	-	-	-	-	178.3	-
6.02 ADP	rush_yd	719.8	o725.5 -105/-115	o675.5 -112/-112	o700.5 -115/-115	o750.5 +100/-130	o675.5 -112/-112	o700.5 -115/-115	810.5	-
