NAME	TEAM	ML	A/H	PROP	LINE	SZN AVG	W-L Splits	A-H Splits	% OVER	L15 % OVER	L5 % OVER	LAST 10 GAMES ➡️	LAST YR % OVER	OVER	UNDER
Josh Mahura	FLA	-115	H	g	0.5	0.04	4% - 4%	4% - 4%	4%	0,0,0,0,0,0,0,0,0,0	8%	'+1200	0
Kaedan Korczak	VGK	-105	A	g	0.5	0.0	0% - 0%	0% - 0%	0%	0,0,0,0,0,0,0,0,0,0	0%	'+1200	0
Keegan Kolesar	VGK	-105	A	g	0.5	0.11	12% - 9%	18% - 4%	11%	0,0,0,1,0,0,0,0,0,0	7%	'+650	0
Marc Staal	FLA	-115	H	g	0.5	0.03	4% - 2%	2% - 4%	3%	0,0,0,0,0,0,0,0,0,0	3%	'+1500	0
Marc Staal	FLA	-115	H	bs	1.5	1.48	36% - 41%	40% - 37%	39%	4,1,0,1,1,2,6,2,0,1	0%	'+100	-130
Mark Stone	VGK	-105	A	sog	2.5	2.53	60% - 40%	57% - 50%	53%	3,3,7,3,3,1,2,1,0,3	32%	-110	-120
Mark Stone	VGK	-105	A	pts	0.5	0.92	69% - 45%	71% - 53%	61%	2,1,1,0,0,0,2,1,0,1	56%	-160	'+130
Mark Stone	VGK	-105	A	ast	0.5	0.52	52% - 30%	54% - 38%	45%	1,1,0,0,0,0,1,1,0,0	47%	'+130	-160
Mark Stone	VGK	-105	A	g	0.5	0.4	40% - 20%	29% - 38%	34%	1,0,1,0,0,0,1,0,0,1	18%	'+210	0
Matthew Tkachuk	FLA	-115	H	sog	3.5	3.88	53% - 49%	39% - 64%	51%	3,4,2,4,2,4,3,6,0,2	44%	'+105	-135
Matthew Tkachuk	FLA	-115	H	pts	1.5	1.36	58% - 22%	31% - 53%	42%	2,1,0,2,1,1,1,0,1,0	29%	'+160	-195
Matthew Tkachuk	FLA	-115	H	ast	0.5	0.84	68% - 42%	51% - 62%	56%	1,0,0,0,1,0,0,0,1,0	49%	-130	'+100
Matthew Tkachuk	FLA	-115	H	g	0.5	0.52	47% - 33%	41% - 40%	41%	1,1,0,2,0,1,1,0,0,0	41%	'+105	0
Michael Amadio	VGK	-105	A	g	0.5	0.25	29% - 14%	21% - 26%	23%	0,1,0,1,0,0,0,0,1,0	19%	'+475	0
Nick Cousins	FLA	-115	H	g	0.5	0.11	11% - 11%	12% - 10%	11%	0,0,0,0,0,0,0,1,0,0	12%	'+350	0
Nicolas Hague	VGK	-105	A	g	0.5	0.04	5% - 3%	4% - 4%	4%	0,0,0,0,0,0,0,0,0,1	8%	'+1000	0
Nicolas Hague	VGK	-105	A	bs	1.5	1.58	52% - 39%	55% - 40%	47%	2,4,1,2,0,2,0,2,3,0	0%	-140	'+110
Nicolas Roy	VGK	-105	A	sog	1.5	1.58	49% - 39%	45% - 45%	45%	3,1,0,2,3,1,2,2,0,1	55%	'+110	-140
Nicolas Roy	VGK	-105	A	pts	0.5	0.46	53% - 19%	48% - 34%	40%	0,1,0,1,0,2,0,1,1,0	36%	'+135	-165
Nicolas Roy	VGK	-105	A	ast	0.5	0.27	30% - 13%	30% - 18%	24%	0,0,0,1,0,2,0,1,1,0	26%	'+235	-300
Nicolas Roy	VGK	-105	A	g	0.5	0.19	25% - 6%	18% - 18%	18%	0,1,0,0,0,0,0,0,0,0	20%	'+400	0
Paul Cotter	VGK	-105	A	g	0.5	0.24	32% - 4%	14% - 26%	20%	0,0,0,0,1,0,0,0,1,0	33%	'+550	0
Phil Kessel	VGK	-105	A	g	0.5	0.16	19% - 12%	19% - 14%	16%	0,0,0,0,0,0,0,1,0,0	10%	'+475	0
Radko Gudas	FLA	-115	H	g	0.5	0.02	2% - 3%	2% - 2%	2%	0,0,0,0,0,0,0,0,0,0	4%	'+1500	0
Reilly Smith	VGK	-105	A	sog	1.5	2.32	67% - 56%	66% - 60%	63%	0,4,3,1,0,1,1,6,2,5	72%	-155	'+125
Reilly Smith	VGK	-105	A	pts	0.5	0.69	67% - 29%	57% - 50%	54%	0,0,1,2,0,0,0,0,2,1	55%	'+105	-135
Reilly Smith	VGK	-105	A	ast	0.5	0.39	40% - 18%	32% - 32%	32%	0,0,0,2,0,0,0,0,1,0	34%	'+205	-255
Reilly Smith	VGK	-105	A	g	0.5	0.3	32% - 15%	28% - 24%	26%	0,0,1,0,0,0,0,0,1,1	26%	'+255	0
Ryan Lomberg	FLA	-115	H	g	0.5	0.14	17% - 11%	6% - 22%	14%	0,0,0,1,0,0,0,0,0,0	16%	'+500	0
Sam Bennett	FLA	-115	H	sog	3.5	3.19	46% - 40%	39% - 48%	43%	4,4,3,6,3,6,4,3,3,4	52%	-105	-125
Sam Bennett	FLA	-115	H	pts	0.5	0.65	52% - 37%	41% - 50%	46%	1,1,0,0,1,1,1,0,1,0	44%	-145	'+115
Sam Bennett	FLA	-115	H	ast	0.5	0.41	35% - 26%	29% - 32%	31%	1,1,0,0,1,1,1,0,1,0	26%	'+150	-185
Sam Bennett	FLA	-115	H	g	0.5	0.25	28% - 14%	22% - 22%	22%	0,0,0,0,0,0,0,0,0,0	26%	'+195	0
Sam Reinhart	FLA	-115	H	sog	2.5	2.65	47% - 50%	40% - 57%	49%	2,0,3,1,3,1,2,4,5,2	46%	-115	-115
Sam Reinhart	FLA	-115	H	pts	0.5	0.77	65% - 43%	56% - 55%	55%	0,0,0,1,1,1,0,0,1,1	64%	-165	'+135
Sam Reinhart	FLA	-115	H	ast	0.5	0.4	40% - 26%	40% - 27%	34%	0,0,0,1,0,1,0,0,0,0	42%	'+120	-150
Sam Reinhart	FLA	-115	H	g	0.5	0.38	40% - 26%	29% - 39%	34%	0,0,0,0,1,0,0,0,1,1	33%	'+205	0
Sergei Bobrovsky	FLA	-115	H	sv	27.5	27.84	70% - 43%	64% - 53%	58%	25,9,29,36,32,37,63,50,23,22	42%	-115	-115
Shea Theodore	VGK	-105	A	sog	2.5	2.33	31% - 59%	39% - 40%	40%	1,0,3,3,1,3,2,3,1,1	42%	'+150	-185
Shea Theodore	VGK	-105	A	pts	0.5	0.7	55% - 55%	58% - 51%	55%	1,0,2,0,1,0,1,0,1,0	51%	'+110	-140
Shea Theodore	VGK	-105	A	ast	0.5	0.58	51% - 45%	50% - 49%	49%	1,0,1,0,1,0,1,0,1,0	39%	'+150	-185
Shea Theodore	VGK	-105	A	g	0.5	0.12	14% - 9%	13% - 11%	12%	0,0,1,0,0,0,0,0,0,0	15%	'+475	0
Shea Theodore	VGK	-105	A	bs	1.5	1.62	53% - 41%	58% - 40%	49%	3,1,1,2,5,2,3,1,1,1	0%	-190	'+155
Teddy Blueger	VGK	-105	A	g	0.5	0.13	16% - 0%	15% - 10%	13%	0,0,1,0,0,0,0,0,0,0	0%	'+650	0
William Carrier	VGK	-105	A	sog	1.5	1.83	63% - 48%	58% - 58%	58%	0,0,0,3,0,1,1,0,1,0	60%	'+130	-160
William Carrier	VGK	-105	A	g	0.5	0.25	33% - 8%	29% - 20%	24%	0,0,0,1,0,1,0,0,0,0	16%	'+550	0
William Karlsson	VGK	-105	A	sog	1.5	1.99	71% - 53%	61% - 67%	64%	3,2,1,2,2,2,1,3,2,4	55%	-180	'+145
William Karlsson	VGK	-105	A	pts	0.5	0.66	60% - 33%	49% - 52%	50%	0,1,0,3,0,0,0,2,1,1	38%	'+100	-130
William Karlsson	VGK	-105	A	ast	0.5	0.44	46% - 19%	37% - 37%	37%	0,1,0,1,0,0,0,0,0,1	29%	'+200	-250
William Karlsson	VGK	-105	A	g	0.5	0.23	25% - 14%	20% - 21%	21%	0,0,0,2,0,0,0,2,1,0	17%	'+290	0
Zac Dalpe	FLA	-115	H	g	0.5	0.12	8% - 15%	17% - 8%	12%	0,0,0,0,0,0,0,0,1,0	0%	'+500	0
Zach Whitecloud	VGK	-105	A	g	0.5	0.09	11% - 4%	5% - 13%	9%	0,0,1,0,0,0,0,0,0,0	9%	'+850	0
Zach Whitecloud	VGK	-105	A	bs	1.5	1.65	48% - 54%	49% - 51%	50%	3,1,4,1,2,1,2,3,1,0	0%	-185	'+150
