	vs ECR	PTS	PLAYER	ATTD	RUSH_YD	REC	REC_YD	INC
RB75	'+2	0.4	Will Shipley	0.06	0.19	0.05	0.06	,rush_yd,rec,rec_yd,
RB76	'+17	0.3	Joshua Kelley	0.33	-	-	-	,rush_yd,rec,rec_yd,
RB77	'+13	0.3	Raheem Blackshear	0.06	0.09	0.05	0.06	,rush_yd,rec,rec_yd,
RB78	'+10	0.3	Ronnie Rivers	0.21	0.02	-	0.03	,rush_yd,rec,rec_yd,
RB79	'+7	0.2	Kenny Mcintosh	-	0.15	0.05	0.05	,rush_yd,rec,rec_yd,
RB80	'+3	0.2	Sione Vaki	-	0.06	0.05	0.09	,rush_yd,rec,rec_yd,
RB81	'+17	0.2	Kimani Vidal	-	0.04	0.05	0.06	,rush_yd,rec,rec_yd,
RB82	'+20	0.1	Jeff Wilson	0.01	0.09	-	0.03	,rush_yd,rec,rec_yd,
RB83	-	0.1	Cody Schrader	-	0.02	0.05	0.01	,rush_yd,rec,rec_yd,
RB84	'+19	0.1	Rasheen Ali	-	0.02	-	0.03	,rush_yd,rec,rec_yd,
