EV	EV Book	Imp	Game	Player	Prop	O/U	FD	DK	Bet365	CZ	Kambi	ESPN	L10% Over	% Over	Splits		Minutes
70.9	1000 365	9%	atletico madrid	Marcos Llorente	shots	o 2.5	'+390	-	'+1000	-	-	-	-%	-%		🟡	
70.2	1800 FD	5%	melbourne	Thomas Aquilina	shots	o 3.5	'+1800	-	'+600	-	-	-	-%	-%		-	
69.1	140 DK	42%	aston villa	Boubacar Kamara	tackles	o 1.5	-	'+140	-300	-	-	-	50%	50%	2,1,6,3,9,0,3,0,0,0	-	90,90,15,27,30
68.9	600 FD	14%	lille	Jonathan David	shots	o 4.5	'+600	-	'+250	-	-	-	10%	10%	2,1,1,3,4,5,1,1,2,3	🟡	90,90,28,90,67
68.4	400 365	20%	club brugge	Ardon Jashari	tackles	o 2.5	-	'+165	'+400	-	-	-	30%	30%	3,3,3,1,2,2,0,0,1,1	-	90,88,90,90,90
67.7	350 DK	22%	real madrid	Rodrygo	tackles	o 1.5	-	'+350	'+300	-135	-	-	40%	21%	5,0,0,1,1,4,0,1,2,2	🟡	90,7,90,90,67
66.7	450 365	18%	lille	Ethan Mbappe	shots	o 2.5	'+190	-	'+450	-	-	-	10%	9%	2,0,1,0,0,3,2,1,2,2		27,58,45,45,70
66.7	550 365	15%	real madrid	Luka Modric	tackles	o 2.5	-	'+300	'+550	185	-	-	20%	8%	1,0,1,0,1,1,2,3,0,4		8,85,90,29,90
66.2	2000 365	5%	atletico madrid	Giuliano Simeone	shots	o 3.5	'+650	-	'+2000	-	-	-	-%	-%		🟡	
65.6	360 BR	22%	watford	Florian Bianchini	shots	o 2.5	-	-	'+150	-	360/-1000	-	-%	-%		-	
63.7	145 FD	41%	melbourne	Kai Trewin	shots	o 1.5	'+145	-	-250	-	-	-	-%	-%		-	
62.5	300 365	25%	atletico madrid	Marcos Llorente	tackles	o 3.5	-	-	'+300	125	-	-	-%	-%		🟡	
62.0	350 365	22%	real madrid	Aurelien Tchouameni	tackles	o 3.5	-	-	'+350	150	-	-	0%	10%	1,0,2,2,0,3,0,2,2,1	🟡	90,90,90,90,90
60.4	275 365	27%	psv	Guus Til	tackles	o 1.5	-	'+115	'+275	-	-	-	30%	27%	0,2,0,0,0,2,1,1,2,1	-	62,49,72,90,90
60.3	140 DK	42%	real madrid	Eduardo Camavinga	tackles	o 2.5	-	'+140	-250	-	-	-	30%	40%	7,2,1,2,3,0,2,5,2,0		18,87,32,61,12
59.8	333 365	23%	melbourne	Eli Adams	shots	o 2.5	'+145	-	'+333	-	-	-	-%	-%		-	
58.0	1200 365	8%	psv	Ismael Saibari	shots	o 3.5	'+480	-	'+1200	-	-	-	30%	23%	2,3,4,1,2,4,5,3,1,2	-	28,120,90,81,90
