playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8480045,2022,Ukko-Pekka Luukkonen,BUF,G,other,12,1215.0,4.75,5.0,46.0,2.26,3.0,5.08,4.0,27.37,28.0,0.88,5.0,17.58,16.0,7.36,9.0,4.38,21.0,12.0,5.0,0.77,1.59,2.4,2.0,1.0,2.0,8.0,0.0,0.0
8480045,2022,Ukko-Pekka Luukkonen,BUF,G,all,12,43558.0,47.58,42.0,674.0,28.65,45.0,87.35,100.0,392.12,389.0,11.88,20.0,215.12,168.0,146.29,171.0,45.37,353.0,131.0,54.0,11.59,16.65,19.34,11.0,16.0,15.0,136.0,0.0,0.0
8480045,2022,Ukko-Pekka Luukkonen,BUF,G,5on5,12,35672.0,30.06,25.0,516.0,20.44,33.0,68.38,81.0,291.78,290.0,8.96,13.0,158.97,113.0,115.34,140.0,29.0,272.0,100.0,31.0,8.85,12.61,8.6,9.0,13.0,3.0,113.0,0.0,0.0
8480045,2022,Ukko-Pekka Luukkonen,BUF,G,4on5,12,2763.0,11.15,11.0,99.0,5.31,9.0,12.79,13.0,63.12,62.0,0.12,0.0,35.77,37.0,18.03,15.0,10.37,56.0,13.0,16.0,1.83,1.57,7.74,0.0,1.0,10.0,14.0,0.0,0.0
8480045,2022,Ukko-Pekka Luukkonen,BUF,G,5on4,12,3908.0,1.63,1.0,13.0,0.65,0.0,1.1,2.0,9.85,9.0,1.92,2.0,2.79,2.0,5.56,7.0,1.62,4.0,6.0,2.0,0.14,0.89,0.61,0.0,1.0,0.0,1.0,0.0,0.0
8471734,2022,Jonathan Quick,LAK,G,other,23,2209.0,6.71,6.0,69.0,3.56,7.0,7.82,11.0,43.44,43.0,0.76,2.0,23.94,20.0,13.58,12.0,5.68,29.0,21.0,7.0,1.41,2.72,2.58,0.0,2.0,4.0,12.0,0.0,0.0
8471734,2022,Jonathan Quick,LAK,G,all,23,79527.0,64.44,75.0,1229.0,47.14,60.0,145.84,146.0,657.11,647.0,23.03,31.0,361.82,314.0,262.59,291.0,61.4,641.0,205.0,57.0,19.71,25.4,19.32,24.0,31.0,20.0,326.0,2.0,1.0
8471734,2022,Jonathan Quick,LAK,G,5on5,23,63867.0,44.31,48.0,949.0,34.17,44.0,115.33,112.0,495.73,482.0,18.34,23.0,271.2,236.0,201.9,232.0,42.74,496.0,149.0,38.0,15.31,18.62,10.38,21.0,20.0,7.0,266.0,2.0,1.0
8471734,2022,Jonathan Quick,LAK,G,4on5,23,6536.0,11.07,15.0,174.0,8.27,8.0,19.22,20.0,93.54,96.0,0.53,0.0,59.28,54.0,30.2,30.0,10.68,95.0,26.0,10.0,2.3,2.97,5.8,2.0,4.0,9.0,43.0,0.0,0.0
8471734,2022,Jonathan Quick,LAK,G,5on4,23,6915.0,2.23,5.0,36.0,1.11,1.0,3.36,3.0,23.56,25.0,3.39,6.0,7.06,4.0,16.55,17.0,2.18,21.0,8.0,2.0,0.69,0.99,0.55,1.0,4.0,0.0,5.0,0.0,0.0
